learn:ktx.csv check:xkd.csv 	 Result: 	0.25199638190043355 	7317 	2577
  	class: 同心  	d: 13  	pt: 2.0  	diff:  同心A1.0 众志成城B1.0
  	class: 调解  	d: 13  	pt: 2.0  	diff:  劝和A0.5 圆场A0.5 调解B0.5 息事宁人B0.5
  	class: 尽情  	d: 12  	pt: 2.0  	diff:  畅快A0.3333333333333333 痛快A0.6666666666666666 畅B1.0
  	class: 马虎  	d: 12  	pt: 2.0  	diff:  草率A1.0 含糊B1.0
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  摇A0.8 摇头A0.2 舞狮B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  倾心A1.0 忠于B0.8888888888888888 动情B0.1111111111111111
  	class: 降伏  	d: 5  	pt: 2.0  	diff:  折服A1.0 驯服B1.0
  	class: 做作  	d: 20  	pt: 2.0  	diff:  装腔作势A0.5 装腔A0.5 做作B1.0
  	class: 清高  	d: 13  	pt: 2.0  	diff:  清高A0.3333333333333333 孤傲A0.6666666666666666 淡泊B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  佩服A1.0 钦佩B1.0
  	class: 沿用  	d: 4  	pt: 2.0  	diff:  沿用A1.0 套用B1.0
  	class: 簇拥  	d: 3  	pt: 2.0  	diff:  拥A1.0 簇拥B1.0
  	class: 擦  	d: 13  	pt: 2.0  	diff:  擦拭A1.0 拂拭B1.0
  	class: 承  	d: 5  	pt: 2.0  	diff:  承载A1.0 承接B1.0
  	class: 松手  	d: 4  	pt: 2.0  	diff:  放手A0.3333333333333333 撒手A0.6666666666666666 松手B0.5 失手B0.5
  	class: 洗  	d: 15  	pt: 2.0  	diff:  保洁A0.25 洗洗A0.5 澡A0.25 清洗B1.0
  	class: 切割  	d: 2  	pt: 2.0  	diff:  割A1.0 切割B1.0
  	class: 修理  	d: 7  	pt: 2.0  	diff:  弥合A1.0 整修B1.0
  	class: 揭穿  	d: 8  	pt: 2.0  	diff:  捅A0.25 拆穿A0.5 戳穿A0.25 说穿B1.0
  	class: 越  	d: 3  	pt: 2.0  	diff:  翻翻A1.0 翻越B1.0
  	class: 挑拨  	d: 11  	pt: 2.0  	diff:  捣鼓A1.0 挑拨B1.0
  	class: 浏览  	d: 4  	pt: 2.0  	diff:  浏览A1.0 参观B1.0
  	class: 倾听  	d: 7  	pt: 2.0  	diff:  倾听A1.0 聆听B1.0
  	class: 轰  	d: 6  	pt: 2.0  	diff:  咆哮A0.5 吼A0.5 轰鸣B1.0
  	class: 解放  	d: 2  	pt: 2.0  	diff:  翻身A1.0 解放B1.0
  	class: 回礼  	d: 3  	pt: 2.0  	diff:  回礼A1.0 回赠B1.0
  	class: 泄恨  	d: 6  	pt: 2.0  	diff:  撒气A1.0 泄愤B1.0
  	class: 多变  	d: 11  	pt: 2.0  	diff:  多变A1.0 演进B1.0
  	class: 躲避  	d: 5  	pt: 2.0  	diff:  闪避A0.6666666666666666 闪躲A0.3333333333333333 躲闪B1.0
  	class: 推理  	d: 5  	pt: 2.0  	diff:  演绎A0.9090909090909091 推理A0.09090909090909091 推导B1.0
  	class: 敬仰  	d: 10  	pt: 2.0  	diff:  仰慕A1.0 景仰B1.0
  	class: 夺取  	d: 3  	pt: 2.0  	diff:  夺得A0.8 夺A0.2 夺取B1.0
  	class: 起跑  	d: 10  	pt: 2.0  	diff:  开拍A1.0 开盘B1.0
  	class: 进攻  	d: 6  	pt: 2.0  	diff:  出击A1.0 攻打B0.375 进攻B0.625
  	class: 冲击  	d: 4  	pt: 2.0  	diff:  厮杀A1.0 冲锋B1.0
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  抢占A1.0 侵占B0.6 强占B0.1 侵吞B0.3
  	class: 并吞  	d: 7  	pt: 2.0  	diff:  吞噬A1.0 兼并B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  离去A1.0 撤离B1.0
  	class: 立户  	d: 6  	pt: 2.0  	diff:  成家立业A1.0 立业B1.0
  	class: 签到  	d: 4  	pt: 2.0  	diff:  登录A1.0 签到B1.0
  	class: 降级  	d: 8  	pt: 2.0  	diff:  贬低A0.8333333333333334 贬A0.16666666666666666 降级B1.0
  	class: 交卸  	d: 4  	pt: 2.0  	diff:  交割A1.0 移交B1.0
  	class: 还债  	d: 5  	pt: 2.0  	diff:  还贷A1.0 还款B1.0
  	class: 挤出  	d: 3  	pt: 2.0  	diff:  挤出A1.0 腾出B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  急救A1.0 救护B1.0
  	class: 走亲戚  	d: 2  	pt: 2.0  	diff:  串亲戚A1.0 走亲戚B1.0
  	class: 搭腔  	d: 5  	pt: 2.0  	diff:  搭讪A0.625 搭话A0.25 接茬A0.125 搭理B1.0
  	class: 露面  	d: 5  	pt: 2.0  	diff:  露面A1.0 露头B0.5 冒头B0.5
  	class: 求助  	d: 6  	pt: 2.0  	diff:  求助A1.0 求救B1.0
  	class: 面交  	d: 6  	pt: 2.0  	diff:  递A0.6 递给A0.4 递交B1.0
  	class: 谦让  	d: 6  	pt: 2.0  	diff:  谦让A0.6666666666666666 礼让A0.3333333333333333 让给B1.0
  	class: 慰劳  	d: 8  	pt: 2.0  	diff:  犒劳A0.5 抚慰A0.5 慰问B1.0
  	class: 断交  	d: 3  	pt: 2.0  	diff:  绝交A1.0 断交B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混迹A1.0 混进B1.0
  	class: 搜查  	d: 4  	pt: 2.0  	diff:  搜A1.0 查抄B1.0
  	class: 晒  	d: 5  	pt: 2.0  	diff:  晒A1.0 曝B1.0
  	class: 做饭  	d: 4  	pt: 2.0  	diff:  下厨A1.0 做饭B1.0
  	class: 挑衅  	d: 4  	pt: 2.0  	diff:  找上门A1.0 挑衅B1.0
  	class: 拿获  	d: 8  	pt: 2.0  	diff:  抓走A0.5 捕获A0.5 抓获B1.0
  	class: 泄漏  	d: 8  	pt: 2.0  	diff:  泄露A1.0 透漏B1.0
  	class: 拂面  	d: 3  	pt: 2.0  	diff:  拂面A1.0 扑面B1.0
  	class: 溶解  	d: 2  	pt: 2.0  	diff:  溶A1.0 溶解B1.0
  	class: 繁殖  	d: 8  	pt: 2.0  	diff:  繁殖A1.0 繁衍B1.0
  	class: 沉睡  	d: 7  	pt: 2.0  	diff:  酣睡A1.0 沉睡B1.0
  	class: 伸长  	d: 2  	pt: 2.0  	diff:  伸A1.0 伸长B1.0
  	class: 被捕  	d: 3  	pt: 2.0  	diff:  被捕A1.0 落网B1.0
  	class: 遇刺  	d: 2  	pt: 2.0  	diff:  遇刺A1.0 遇害B1.0
  	class: 失踪  	d: 5  	pt: 2.0  	diff:  走失A1.0 失踪B1.0
  	class: 遇救  	d: 3  	pt: 2.0  	diff:  得救A1.0 获救B1.0
  	class: 罢休  	d: 7  	pt: 2.0  	diff:  罢休A1.0 罢手B0.5 用尽B0.5
  	class: 激增  	d: 11  	pt: 2.0  	diff:  陡增A1.0 新增B0.875 剧增B0.125
  	class: 好似  	d: 10  	pt: 2.0  	diff:  宛如A0.75 有如A0.25 犹如B1.0
  	class: 共存  	d: 13  	pt: 2.0  	diff:  幸存A1.0 共存B1.0
  	class: 戒除  	d: 3  	pt: 2.0  	diff:  改掉A1.0 力戒B1.0
  	class: 难保  	d: 4  	pt: 2.0  	diff:  没准A1.0 难保B1.0
  	class: 顺路  	d: 3  	pt: 2.0  	diff:  顺道A1.0 顺路B1.0
  	class: 统治  	d: 12  	pt: 1.9999999999999998  	diff:  掌印A0.5 当家A0.5 执政B0.9148936170212766 统治B0.06382978723404255 主政B0.02127659574468085
  	class: 天资  	d: 5  	pt: 1.9999999999999998  	diff:  天才A1.0 禀赋B0.6666666666666666 资质B0.3333333333333333
  	class: 叛变  	d: 13  	pt: 1.9999999999999998  	diff:  叛逆A0.5555555555555556 背叛A0.2222222222222222 叛变A0.2222222222222222 叛乱B0.3333333333333333 叛离B0.3333333333333333 倒戈B0.3333333333333333
  	class: 中断  	d: 13  	pt: 1.9999999999999998  	diff:  停顿A1.0 中止B0.6666666666666666 刹车B0.3333333333333333
  	class: 力气  	d: 4  	pt: 1.9999999999999998  	diff:  力气A1.0 马力B0.3333333333333333 巧劲B0.3333333333333333 气力B0.3333333333333333
  	class: 吵闹  	d: 9  	pt: 1.9999999999999998  	diff:  嚷A0.3333333333333333 哭闹A0.6666666666666666 叫嚣B0.6666666666666666 起哄B0.3333333333333333
  	class: 闲置  	d: 9  	pt: 1.9999999999999998  	diff:  搁A0.8 撂A0.2 搁置B0.6666666666666666 闲置B0.3333333333333333
  	class: 相反  	d: 10  	pt: 1.9999999999999998  	diff:  相悖A1.0 有悖于B0.6666666666666666 有悖B0.3333333333333333
  	class: 缩水  	d: 6  	pt: 1.9999999999999998  	diff:  浓缩A1.0 缩短B0.6666666666666666 缩水B0.3333333333333333
  	class: 会议  	d: 3  	pt: 1.9726027397260273  	diff:  集会AB0.9863013698630136 会议B0.9726027397260274 议会B0.0136986301369863
  	class: 案件  	d: 3  	pt: 1.9661016949152543  	diff:  案子AB0.9830508474576272 案件B0.9830508474576272
  	class: 结合  	d: 15  	pt: 1.9583333333333333  	diff:  组合AB0.9791666666666666 结成B0.041666666666666664 整合B0.9375
  	class: 消灭  	d: 8  	pt: 1.9375  	diff:  消灭AB0.76875 灭A0.2 除恶B0.96875
  	class: 领土  	d: 12  	pt: 1.9285714285714286  	diff:  版图AB0.9642857142857143 领土B0.39285714285714285 国土B0.5357142857142857 疆域B0.03571428571428571
  	class: 审查  	d: 14  	pt: 1.9166666666666667  	diff:  审核AB0.9583333333333334 查处B0.375 核B0.4791666666666667 审结B0.08333333333333333 复核B0.020833333333333332
  	class: 订约  	d: 11  	pt: 1.9130434782608696  	diff:  缔结AB0.20652173913043478 订A0.75 协定B0.4782608695652174 签订B0.30434782608695654 商定B0.17391304347826086
  	class: 征收  	d: 5  	pt: 1.9090909090909092  	diff:  课AB0.9545454545454546 征收B0.9545454545454546
  	class: 访问  	d: 10  	pt: 1.894736842105263  	diff:  做客A0.15789473684210525 拜访A0.3157894736842105 访问AB0.7841031149301827 顾A0.47368421052631576 走访B0.04081632653061224 访B0.10204081632653061 拜会B0.02040816326530612
  	class: 合同  	d: 2  	pt: 1.8888888888888888  	diff:  合约AB0.9444444444444444 合同B0.9444444444444444
  	class: 爱情  	d: 8  	pt: 1.8823529411764706  	diff:  爱情A0.9411764705882353 爱意AB0.9411764705882353
  	class: 精巧  	d: 22  	pt: 1.8823529411764706  	diff:  精致A0.7058823529411765 精细AB0.6078431372549019 娇小A0.058823529411764705 小巧A0.11764705882352941 精妙A0.058823529411764705 精密B0.3333333333333333
  	class: 起草  	d: 7  	pt: 1.875  	diff:  草AB0.9375 拟B0.5625 起草B0.25 拟议B0.125
  	class: 削弱  	d: 7  	pt: 1.875  	diff:  减AB0.9375 削弱B0.3125 弱化B0.5625 减弱B0.0625
  	class: 贵族  	d: 2  	pt: 1.8666666666666667  	diff:  贵族AB0.9333333333333333 大公B0.9333333333333333
