learn:mm.csv check:xkd.csv 	 Result: 	0.28625456813134137 	5229 	1906
  	class: 剧团  	d: 7  	pt: 2.0  	diff:  剧院A1.0 班子B1.0
  	class: 尺码  	d: 2  	pt: 2.0  	diff:  尺寸A1.0 尺码B1.0
  	class: 能够  	d: 5  	pt: 2.0  	diff:  可知A1.0 亦可B1.0
  	class: 修养  	d: 4  	pt: 2.0  	diff:  修身养性A0.5 修养A0.5 修身B1.0
  	class: 爱情  	d: 8  	pt: 2.0  	diff:  爱情A0.9629629629629629 旧情A0.037037037037037035 爱意B1.0
  	class: 愤怒  	d: 33  	pt: 2.0  	diff:  愤怒A1.0 气愤B0.5 愤慨B0.5
  	class: 稿件  	d: 2  	pt: 2.0  	diff:  稿子A1.0 稿件B1.0
  	class: 食量  	d: 3  	pt: 2.0  	diff:  食量A1.0 胃口B1.0
  	class: 专制  	d: 16  	pt: 2.0  	diff:  武断A1.0 独裁B1.0
  	class: 复习  	d: 6  	pt: 2.0  	diff:  复习A1.0 习B1.0
  	class: 名位  	d: 3  	pt: 2.0  	diff:  排名分A1.0 名分B1.0
  	class: 务农  	d: 6  	pt: 2.0  	diff:  种地A1.0 务农B1.0
  	class: 订约  	d: 11  	pt: 2.0  	diff:  订A1.0 协定B0.4782608695652174 缔结B0.043478260869565216 签订B0.30434782608695654 商定B0.17391304347826086
  	class: 佣金  	d: 3  	pt: 2.0  	diff:  回扣A1.0 佣金B1.0
  	class: 教育  	d: 14  	pt: 2.0  	diff:  教导A1.0 教诲B1.0
  	class: 手书  	d: 3  	pt: 2.0  	diff:  手书A1.0 亲笔信B1.0
  	class: 删除  	d: 10  	pt: 2.0  	diff:  删A0.5 抹A0.3333333333333333 删除A0.16666666666666666 刨除B0.3333333333333333 删减B0.6666666666666666
  	class: 噜苏  	d: 6  	pt: 2.0  	diff:  废话A1.0 赘述B1.0
  	class: 大  	d: 12  	pt: 2.0  	diff:  硕大A1.0 庞大B1.0
  	class: 折扣  	d: 4  	pt: 2.0  	diff:  折扣A1.0 对折B1.0
  	class: 纠缠  	d: 12  	pt: 2.0  	diff:  缠A0.25 纠缠A0.75 绕B1.0
  	class: 重叠  	d: 7  	pt: 2.0  	diff:  臃肿A1.0 重叠B0.8 交汇B0.2
  	class: 细  	d: 11  	pt: 2.0  	diff:  细高A1.0 细细B1.0
