learn:jqzx.csv check:ktx.csv 	 Result: 	0.2569431958915171 	6229 	2230
  	class: 暴动  	d: 10  	pt: 2.0  	diff:  暴动A1.0 发难B1.0
  	class: 起跑  	d: 10  	pt: 2.0  	diff:  开课A0.6 开讲A0.2 开盘A0.2 开拍B1.0
  	class: 起兵  	d: 10  	pt: 2.0  	diff:  进军A1.0 出动B1.0
  	class: 冲击  	d: 4  	pt: 2.0  	diff:  冲锋A1.0 厮杀B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤出A1.0 离去B1.0
  	class: 惩办  	d: 16  	pt: 2.0  	diff:  处置A1.0 办B0.6111111111111112 收拾B0.3888888888888889
  	class: 招认  	d: 5  	pt: 2.0  	diff:  交待A1.0 认罪B1.0
  	class: 为首  	d: 9  	pt: 2.0  	diff:  带头A0.3333333333333333 领衔A0.3333333333333333 牵头A0.3333333333333333 领头B0.5 为首B0.5
  	class: 降级  	d: 8  	pt: 2.0  	diff:  降级A1.0 贬低B0.8333333333333334 贬B0.16666666666666666
  	class: 贿赂  	d: 11  	pt: 2.0  	diff:  打点A1.0 贿赂B1.0
  	class: 还债  	d: 5  	pt: 2.0  	diff:  还款A1.0 还贷B1.0
  	class: 出境  	d: 6  	pt: 2.0  	diff:  出国A1.0 出境B1.0
  	class: 谱曲  	d: 3  	pt: 2.0  	diff:  谱曲A1.0 谱写B0.5 作曲B0.5
  	class: 合著  	d: 3  	pt: 2.0  	diff:  合著A1.0 合写B1.0
  	class: 就医  	d: 4  	pt: 2.0  	diff:  就医A1.0 看病B1.0
  	class: 招待  	d: 3  	pt: 2.0  	diff:  接待A1.0 招待B1.0
  	class: 逞能  	d: 4  	pt: 2.0  	diff:  逞强A1.0 逞能B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混进A1.0 混迹B1.0
  	class: 凑合  	d: 5  	pt: 2.0  	diff:  拼接A0.9230769230769231 拼凑A0.07692307692307693 并拢B1.0
  	class: 理发  	d: 4  	pt: 2.0  	diff:  剃头A1.0 整容B0.8333333333333334 理发B0.16666666666666666
  	class: 晒  	d: 5  	pt: 2.0  	diff:  曝A1.0 晒B1.0
  	class: 质变  	d: 3  	pt: 2.0  	diff:  质变A1.0 蜕变B1.0
  	class: 褪色  	d: 6  	pt: 2.0  	diff:  褪色A1.0 掉色B1.0
  	class: 吃苦  	d: 6  	pt: 2.0  	diff:  受罪A1.0 遭罪B1.0
  	class: 胜败  	d: 5  	pt: 2.0  	diff:  成败A1.0 输赢B0.5 高下B0.25 胜负B0.25
  	class: 缩水  	d: 6  	pt: 2.0  	diff:  缩短A1.0 浓缩B1.0
  	class: 激增  	d: 11  	pt: 2.0  	diff:  激增A0.3333333333333333 新增A0.6666666666666666 陡增B1.0
  	class: 减半  	d: 3  	pt: 2.0  	diff:  减半A1.0 扣除B1.0
  	class: 共存  	d: 13  	pt: 2.0  	diff:  共存A0.5 依存A0.25 并存A0.25 幸存B1.0
  	class: 戒除  	d: 3  	pt: 2.0  	diff:  戒除A1.0 改掉B1.0
  	class: 兄弟  	d: 9  	pt: 1.9999999999999998  	diff:  昆仲A1.0 哥们儿B0.5333333333333333 兄弟B0.3333333333333333 哥俩B0.06666666666666667 哥们B0.06666666666666667
  	class: 子孙  	d: 14  	pt: 1.9999999999999998  	diff:  子代A1.0 后裔B0.6666666666666666 后人B0.3333333333333333
  	class: 圣贤  	d: 17  	pt: 1.9999999999999998  	diff:  先知A0.9444444444444444 哲人A0.05555555555555555 高人B0.3333333333333333 哲B0.3333333333333333 贤良B0.3333333333333333
  	class: 背  	d: 17  	pt: 1.9999999999999998  	diff:  负重A1.0 背靠B0.09090909090909091 背B0.7272727272727273 后背B0.09090909090909091 背着B0.09090909090909091
  	class: 节约  	d: 29  	pt: 1.9999999999999998  	diff:  节能A1.0 细水长流B0.3333333333333333 刻苦B0.3333333333333333 节俭B0.3333333333333333
  	class: 举动  	d: 7  	pt: 1.9999999999999998  	diff:  举措A1.0 举动B0.9166666666666666 举止B0.08333333333333333
  	class: 翘  	d: 6  	pt: 1.9999999999999998  	diff:  企A1.0 抬B0.6666666666666666 翘B0.3333333333333333
  	class: 便利  	d: 12  	pt: 1.9999999999999998  	diff:  便捷A0.7391304347826086 简便A0.17391304347826086 轻便A0.08695652173913043 省事B0.6666666666666666 省心B0.3333333333333333
  	class: 鄙视  	d: 24  	pt: 1.9999999999999998  	diff:  小看A1.0 鄙视B0.26666666666666666 鄙夷B0.13333333333333333 不齿B0.2 轻蔑B0.06666666666666667 看不起B0.06666666666666667 唾弃B0.13333333333333333 瞧不起B0.13333333333333333
  	class: 喊  	d: 13  	pt: 1.9999999999999998  	diff:  叫唤A1.0 喊话B0.13636363636363635 喊B0.7727272727272727 呼喊B0.09090909090909091
  	class: 不能  	d: 9  	pt: 1.9999999999999998  	diff:  未能A0.6666666666666666 无从A0.3333333333333333 得不到B0.6666666666666666 决不能B0.3333333333333333
  	class: 瞎说  	d: 16  	pt: 1.9999999999999998  	diff:  胡扯A1.0 放屁B0.6666666666666666 瞎扯B0.3333333333333333
  	class: 真诚  	d: 37  	pt: 1.9999999999999996  	diff:  实心A0.5 诚心A0.5 真诚B0.47368421052631576 真切B0.05263157894736842 诚恳B0.15789473684210525 拳拳B0.10526315789473684 虔诚B0.10526315789473684 真挚B0.10526315789473684
  	class: 挥动  	d: 7  	pt: 1.9999999999999996  	diff:  挥动A1.0 挥舞B0.2857142857142857 挥手B0.2857142857142857 抡B0.2857142857142857 舞动B0.14285714285714285
  	class: 推测  	d: 16  	pt: 1.9867549668874172  	diff:  推断A0.8874172185430463 推测A0.039735099337748346 测度A0.006622516556291391 推论A0.026490066225165563 揣测AB0.4219489120151372 推想A0.033112582781456956 想来B0.42857142857142855 想见B0.14285714285714285
  	class: 计算  	d: 16  	pt: 1.9845916795069338  	diff:  计算A0.9922958397534669 计AB0.49229583975346686 算算B0.5
  	class: 制图  	d: 5  	pt: 1.9764705882352942  	diff:  绘制A0.7294117647058823 绘图A0.25882352941176473 制图AB0.9882352941176471
  	class: 合并  	d: 24  	pt: 1.965065502183406  	diff:  集成A0.7947598253275109 合并A0.1615720524017467 并入A0.008733624454148471 拼AB0.9035662299854439 一统AB0.0789665211062591 联结A0.017467248908296942
  	class: 发动机  	d: 3  	pt: 1.9649122807017543  	diff:  引擎A0.9824561403508771 发动机AB0.9824561403508771
  	class: 优越  	d: 12  	pt: 1.9595959595959593  	diff:  优于A0.9797979797979798 优越AB0.17979797979797982 优渥B0.2 优胜B0.6
  	class: 风度  	d: 16  	pt: 1.9444444444444442  	diff:  风范A0.5 风采AB0.4722222222222222 气质B0.9166666666666666 神韵B0.027777777777777776 风姿B0.027777777777777776
  	class: 谄媚  	d: 32  	pt: 1.9393939393939392  	diff:  吹捧AB0.9696969696969697 捧B0.6363636363636364 取悦B0.030303030303030304 讨好B0.15151515151515152 谄媚B0.030303030303030304 献殷勤B0.030303030303030304 买好B0.030303030303030304 恭维B0.06060606060606061
  	class: 穿  	d: 9  	pt: 1.9354838709677418  	diff:  穿戴A0.8 身穿AB0.16774193548387098 穿着B0.7419354838709677 穿衣B0.0967741935483871 上身B0.0967741935483871 试穿B0.03225806451612903
  	class: 子  	d: 3  	pt: 1.9310344827586208  	diff:  小子AB0.9655172413793104 儿子B0.9655172413793104
  	class: 会议  	d: 3  	pt: 1.9210526315789473  	diff:  会议A0.9605263157894737 集会AB0.9605263157894737
  	class: 计算机  	d: 8  	pt: 1.9195710455764075  	diff:  计算机A0.8297587131367292 处理器A0.13002680965147453 电脑AB0.9597855227882037
  	class: 梦幻  	d: 9  	pt: 1.916666666666667  	diff:  梦境AB0.9583333333333334 梦B0.875 梦见B0.041666666666666664 梦幻B0.041666666666666664
  	class: 审查  	d: 14  	pt: 1.9130434782608696  	diff:  核A0.9456521739130435 审核AB0.9565217391304348 核对A0.010869565217391304
  	class: 指针  	d: 3  	pt: 1.9130434782608696  	diff:  指南针AB0.9565217391304348 指针A0.9565217391304348
  	class: 多变  	d: 11  	pt: 1.9090909090909092  	diff:  演进A0.45454545454545453 多变AB0.9545454545454546 变异A0.5
  	class: 转车  	d: 14  	pt: 1.9065420560747663  	diff:  转向A0.205607476635514 转化A0.7476635514018691 转正AB0.09065420560747664 转发AB0.6813084112149532 转账AB0.13130841121495326 转折B0.05
  	class: 紧靠  	d: 7  	pt: 1.9  	diff:  附A0.95 促AB0.95
  	class: 收缩  	d: 4  	pt: 1.9  	diff:  收缩A0.95 缩AB0.95
  	class: 地点  	d: 2  	pt: 1.898989898989899  	diff:  地址A0.9494949494949495 地点AB0.9494949494949495
  	class: 歌手  	d: 8  	pt: 1.894736842105263  	diff:  演唱者AB0.9473684210526316 歌者B0.05263157894736842 歌手B0.8421052631578947 歌星B0.05263157894736842
  	class: 放  	d: 11  	pt: 1.8836363636363638  	diff:  前置AB0.44 内置A0.05454545454545454 嵌入A0.88 放到AB0.41818181818181815 安放A0.007272727272727273 置于AB0.08363636363636363
  	class: 类推  	d: 6  	pt: 1.8823529411764706  	diff:  类推AB0.9411764705882353 类比A0.9411764705882353
  	class: 过问  	d: 3  	pt: 1.878787878787879  	diff:  干预A0.9393939393939394 干涉AB0.9393939393939394
  	class: 政策  	d: 5  	pt: 1.8761904761904762  	diff:  策略A0.9357142857142857 政策AB0.9380952380952381 方针A0.002380952380952381
  	class: 场所  	d: 7  	pt: 1.875  	diff:  场所AB0.6041666666666666 处所A0.3333333333333333 场合B0.75 场子B0.1875
  	class: 施加  	d: 5  	pt: 1.8666666666666667  	diff:  施加A0.9333333333333333 强加AB0.9333333333333333
  	class: 生活  	d: 12  	pt: 1.8666666666666667  	diff:  光阴A0.5 过日子AB0.43333333333333335 日子B0.9333333333333333
  	class: 减少  	d: 22  	pt: 1.8666666666666665  	diff:  减少AB0.4057742782152231 压缩A0.34908136482939633 减去A0.05774278215223097 缩减A0.03674540682414698 减小A0.07349081364829396 削减A0.007874015748031496 裁减A0.0026246719160104987 抽B0.7333333333333333 刨B0.2
