learn:gkw.csv check:xkd.csv 	 Result: 	0.24434943820435345 	8137 	2867
  	class: 空隙  	d: 5  	pt: 2.0  	diff:  空隙A1.0 空子B1.0
  	class: 凋敝  	d: 10  	pt: 2.0  	diff:  衰竭A0.26666666666666666 淡A0.7333333333333333 不景气B1.0
  	class: 天国  	d: 7  	pt: 2.0  	diff:  天堂A1.0 净土B1.0
  	class: 内地  	d: 2  	pt: 2.0  	diff:  腹地A1.0 内地B1.0
  	class: 险些  	d: 4  	pt: 2.0  	diff:  差点A1.0 险B1.0
  	class: 缝纫  	d: 3  	pt: 2.0  	diff:  缝A1.0 缝纫B1.0
  	class: 航路  	d: 4  	pt: 2.0  	diff:  航程A1.0 航线B0.6 航路B0.1 航道B0.3
  	class: 婚事  	d: 7  	pt: 2.0  	diff:  婚姻A0.9583333333333334 终身大事A0.041666666666666664 喜事B1.0
  	class: 自动  	d: 9  	pt: 2.0  	diff:  自发性A0.25 电动A0.75 机关B1.0
  	class: 片面  	d: 14  	pt: 2.0  	diff:  盲人摸象A1.0 片面B1.0
  	class: 变故  	d: 5  	pt: 2.0  	diff:  变故A1.0 事变B1.0
  	class: 好歹  	d: 5  	pt: 2.0  	diff:  好歹A1.0 不顾B1.0
  	class: 差错  	d: 12  	pt: 2.0  	diff:  偏差A0.7 差错A0.3 过错B1.0
  	class: 惨境  	d: 8  	pt: 2.0  	diff:  火坑A1.0 地狱B1.0
  	class: 受冤  	d: 11  	pt: 2.0  	diff:  冤枉A1.0 冤屈B1.0
  	class: 不和  	d: 6  	pt: 2.0  	diff:  别扭A1.0 不和B1.0
  	class: 惭愧  	d: 15  	pt: 2.0  	diff:  羞愧A1.0 耻B1.0
  	class: 大业  	d: 3  	pt: 2.0  	diff:  伟业A1.0 大业B1.0
  	class: 罪行  	d: 11  	pt: 2.0  	diff:  罪过A1.0 罪行B0.7142857142857143 罪名B0.2857142857142857
  	class: 评议  	d: 7  	pt: 2.0  	diff:  评比A0.05263157894736842 鉴定A0.9473684210526315 考评B1.0
  	class: 敲诈  	d: 7  	pt: 2.0  	diff:  讹A0.5 敲A0.5 敲诈B1.0
  	class: 生命  	d: 4  	pt: 2.0  	diff:  性命A1.0 人命B1.0
  	class: 斟酌  	d: 7  	pt: 2.0  	diff:  揣摩A1.0 酝酿B0.8333333333333334 掂量B0.16666666666666666
  	class: 谣言  	d: 4  	pt: 2.0  	diff:  谣言A1.0 妄言B1.0
  	class: 长势  	d: 6  	pt: 2.0  	diff:  长势A1.0 走势B1.0
  	class: 晚景  	d: 6  	pt: 2.0  	diff:  夜景A1.0 夜色B1.0
  	class: 恶势力  	d: 5  	pt: 2.0  	diff:  魔爪A1.0 铁蹄B1.0
  	class: 笑柄  	d: 3  	pt: 2.0  	diff:  笑料A1.0 笑柄B1.0
  	class: 情理  	d: 2  	pt: 2.0  	diff:  物理A1.0 情理B1.0
  	class: 关系  	d: 2  	pt: 2.0  	diff:  干系A1.0 瓜葛B1.0
  	class: 厚意  	d: 6  	pt: 2.0  	diff:  深情A1.0 盛情B1.0
  	class: 体形  	d: 4  	pt: 2.0  	diff:  体态A1.0 身段B1.0
  	class: 幻境  	d: 5  	pt: 2.0  	diff:  幻影A1.0 幻像B1.0
  	class: 视力  	d: 3  	pt: 2.0  	diff:  视力A0.625 眼神A0.375 目力B1.0
  	class: 可持续性  	d: 2  	pt: 2.0  	diff:  可持续性A1.0 延续性B1.0
  	class: 局部性  	d: 2  	pt: 2.0  	diff:  局部性A1.0 区域性B1.0
  	class: 害处  	d: 7  	pt: 2.0  	diff:  坏处A0.6666666666666666 害处A0.3333333333333333 弊端B0.8888888888888888 弊病B0.1111111111111111
  	class: 尺码  	d: 2  	pt: 2.0  	diff:  尺寸A1.0 尺码B1.0
  	class: 利己主义  	d: 2  	pt: 2.0  	diff:  个人主义A1.0 利己主义B1.0
  	class: 本领  	d: 4  	pt: 2.0  	diff:  能耐A1.0 身手B1.0
  	class: 修养  	d: 4  	pt: 2.0  	diff:  修养A1.0 修身B1.0
  	class: 心灵  	d: 7  	pt: 2.0  	diff:  心灵A1.0 眼尖B1.0
  	class: 忧愁  	d: 17  	pt: 2.0  	diff:  愁A0.3333333333333333 发愁A0.3333333333333333 忧愁A0.16666666666666666 忧伤A0.16666666666666666 忧B1.0
  	class: 心病  	d: 3  	pt: 2.0  	diff:  隐痛A1.0 隐忧B1.0
  	class: 阴谋  	d: 6  	pt: 2.0  	diff:  诡计A1.0 阴谋B1.0
  	class: 臆断  	d: 4  	pt: 2.0  	diff:  臆想A1.0 臆测B1.0
  	class: 落空  	d: 11  	pt: 2.0  	diff:  吹A0.8333333333333334 落空A0.16666666666666666 未遂B0.5 泡汤B0.5
  	class: 食量  	d: 3  	pt: 2.0  	diff:  饭量A1.0 胃口B1.0
  	class: 护身符  	d: 3  	pt: 2.0  	diff:  护身符A1.0 保护伞B1.0
  	class: 邻国  	d: 2  	pt: 2.0  	diff:  邻邦A1.0 邻国B1.0
  	class: 省会  	d: 4  	pt: 2.0  	diff:  省会A1.0 首府B1.0
  	class: 政权  	d: 5  	pt: 2.0  	diff:  大权A1.0 政权B1.0
  	class: 宪法  	d: 3  	pt: 2.0  	diff:  大法A1.0 宪法B0.9634703196347032 根本法B0.0365296803652968
  	class: 稿费  	d: 3  	pt: 2.0  	diff:  稿费A1.0 稿酬B1.0
  	class: 帐目  	d: 4  	pt: 2.0  	diff:  账目A1.0 账B1.0
  	class: 储蓄  	d: 6  	pt: 2.0  	diff:  攒A1.0 存款B0.8333333333333334 储蓄B0.16666666666666666
  	class: 教育  	d: 14  	pt: 2.0  	diff:  教导A1.0 教诲B1.0
  	class: 调养  	d: 11  	pt: 2.0  	diff:  保养A1.0 养生B1.0
  	class: 辞职  	d: 6  	pt: 2.0  	diff:  辞去A1.0 辞职B1.0
  	class: 字句  	d: 2  	pt: 2.0  	diff:  词句A1.0 字句B1.0
  	class: 纲要  	d: 5  	pt: 2.0  	diff:  大纲A1.0 纲领B0.2 纲要B0.2 总纲B0.6
  	class: 忠言  	d: 4  	pt: 2.0  	diff:  真言A1.0 诤言B1.0
  	class: 萧条  	d: 5  	pt: 2.0  	diff:  低迷A1.0 清淡B1.0
  	class: 正本  	d: 4  	pt: 2.0  	diff:  正本A1.0 蓝本B1.0
  	class: 特辑  	d: 6  	pt: 2.0  	diff:  专栏A0.875 特刊A0.125 专辑B1.0
  	class: 毒瘤  	d: 8  	pt: 2.0  	diff:  癌细胞A1.0 癌B0.6 毒瘤B0.4
  	class: 摊  	d: 13  	pt: 2.0  	diff:  摊位A0.7222222222222222 货摊A0.05555555555555555 小摊A0.05555555555555555 汪A0.16666666666666666 摊子B1.0
  	class: 折扣  	d: 4  	pt: 2.0  	diff:  折扣A0.25 倒扣A0.75 对折B1.0
  	class: 高大  	d: 9  	pt: 2.0  	diff:  伟岸A1.0 魁梧B1.0
  	class: 安静  	d: 35  	pt: 2.0  	diff:  沉静A1.0 肃静B0.3333333333333333 沉寂B0.6666666666666666
  	class: 繁多  	d: 17  	pt: 2.0  	diff:  繁多A1.0 繁B0.5 形形色色B0.5
  	class: 遗漏  	d: 5  	pt: 2.0  	diff:  漏掉A0.5 疏漏A0.5 遗漏B1.0
  	class: 激昂  	d: 19  	pt: 2.0  	diff:  有神A1.0 昂扬B1.0
  	class: 如梭  	d: 4  	pt: 2.0  	diff:  速成A1.0 高效率B1.0
  	class: 热  	d: 9  	pt: 2.0  	diff:  热力A1.0 热火B1.0
  	class: 干涸  	d: 2  	pt: 2.0  	diff:  干旱A1.0 干涸B1.0
  	class: 新式  	d: 12  	pt: 2.0  	diff:  新式A1.0 行时B1.0
  	class: 粗疏  	d: 2  	pt: 2.0  	diff:  粗劣A1.0 粗线条B1.0
  	class: 酸  	d: 5  	pt: 2.0  	diff:  酸A1.0 发酸B1.0
  	class: 失真  	d: 3  	pt: 2.0  	diff:  畸变A1.0 失真B1.0
  	class: 刁难  	d: 9  	pt: 2.0  	diff:  出难题A1.0 刁难B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  平板A1.0 生硬B1.0
  	class: 站稳  	d: 5  	pt: 2.0  	diff:  站立A1.0 站队B1.0
  	class: 无愧  	d: 11  	pt: 2.0  	diff:  对得起A1.0 不愧B0.25 无愧于B0.75
  	class: 无故  	d: 6  	pt: 2.0  	diff:  凭空A1.0 无端B1.0
  	class: 镇静  	d: 23  	pt: 2.0  	diff:  镇定A0.3333333333333333 镇静A0.6666666666666666 沉着B1.0
  	class: 奇货可居  	d: 5  	pt: 2.0  	diff:  无价A1.0 珍稀B1.0
  	class: 放肆  	d: 28  	pt: 2.0  	diff:  猖狂A0.3333333333333333 猖獗A0.6666666666666666 狂妄B0.3333333333333333 嚣张B0.6666666666666666
  	class: 看见  	d: 11  	pt: 2.0  	diff:  望见A0.3333333333333333 瞧瞧A0.6666666666666666 瞧见B0.5 眼见B0.5
