learn:dsjwz.csv check:mm.csv 	 Result: 	0.28257326573158387 	4534 	1775
  	class: 圆滑  	d: 15  	pt: 2.0  	diff:  灵活性A1.0 油滑B1.0
  	class: 暗  	d: 12  	pt: 2.0  	diff:  森A1.0 暗淡B0.5 昏暗B0.25 幽暗B0.25
  	class: 如林  	d: 11  	pt: 2.0  	diff:  不乏A1.0 成堆B1.0
  	class: 空洞  	d: 26  	pt: 2.0  	diff:  抽象A0.967741935483871 概念化A0.03225806451612903 空虚B1.0
  	class: 不断  	d: 34  	pt: 2.0  	diff:  穿梭A0.3333333333333333 不息A0.3333333333333333 连发A0.3333333333333333 不住B0.8 不休B0.2
  	class: 软  	d: 11  	pt: 2.0  	diff:  柔软A1.0 心软B1.0
  	class: 直率  	d: 14  	pt: 2.0  	diff:  简捷A0.6666666666666666 露骨A0.3333333333333333 脆B1.0
  	class: 踏实  	d: 15  	pt: 2.0  	diff:  扎实A1.0 踏实B1.0
  	class: 煮  	d: 9  	pt: 2.0  	diff:  扒A1.0 煮B0.7142857142857143 闷B0.14285714285714285 焖B0.14285714285714285
  	class: 通顺  	d: 10  	pt: 2.0  	diff:  流畅A1.0 流利B1.0
  	class: 冷却  	d: 5  	pt: 2.0  	diff:  冷却A1.0 冷B0.875 凉B0.125
  	class: 结冰  	d: 9  	pt: 2.0  	diff:  冻结A1.0 冻B1.0
  	class: 温柔  	d: 16  	pt: 2.0  	diff:  平易近人A1.0 温柔B0.5 温和B0.5
  	class: 溺爱  	d: 9  	pt: 2.0  	diff:  偏爱A1.0 宠爱B0.4 娇B0.2 宠B0.4
  	class: 可耻  	d: 20  	pt: 2.0  	diff:  难看A1.0 没脸B0.125 羞耻B0.375 可耻B0.5
  	class: 衰落  	d: 23  	pt: 2.0  	diff:  萎缩A1.0 没落B0.25 衰B0.25 衰退B0.25 衰老B0.25
  	class: 削弱  	d: 7  	pt: 2.0  	diff:  减弱A0.5 削弱A0.5 减B1.0
  	class: 便宜  	d: 10  	pt: 2.0  	diff:  最低价A0.5 低廉A0.375 价廉A0.125 贱B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  生硬A0.5 平板A0.5 呆滞B1.0
  	class: 活泼  	d: 11  	pt: 2.0  	diff:  外向A1.0 活泼B1.0
  	class: 飘  	d: 25  	pt: 2.0  	diff:  回荡A1.0 飘B0.8333333333333334 飞扬B0.16666666666666666
  	class: 鄙视  	d: 24  	pt: 2.0  	diff:  小看A1.0 鄙夷B0.2 看轻B0.2 瞧不起B0.6
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  痛心A1.0 悲愤B1.0
  	class: 增多  	d: 14  	pt: 2.0  	diff:  增加A0.9541984732824428 增多A0.03816793893129771 增A0.007633587786259542 搭B1.0
  	class: 滑稽  	d: 4  	pt: 2.0  	diff:  滑稽A1.0 好笑B1.0
  	class: 窥探  	d: 11  	pt: 2.0  	diff:  窥视A0.8 窥A0.2 偷看B1.0
  	class: 疲倦  	d: 32  	pt: 2.0  	diff:  疲劳A1.0 困B0.125 懒B0.625 累死B0.125 疲惫B0.125
  	class: 坦率  	d: 13  	pt: 2.0  	diff:  坦率A1.0 坦诚B1.0
  	class: 散步  	d: 7  	pt: 2.0  	diff:  走走A1.0 遛B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  忠于A1.0 看上B1.0
  	class: 折  	d: 5  	pt: 2.0  	diff:  折中A1.0 掰开B1.0
  	class: 纵容  	d: 4  	pt: 2.0  	diff:  惯A1.0 放纵B0.5 纵容B0.5
  	class: 发奋  	d: 31  	pt: 2.0  	diff:  加油A1.0 奋斗B1.0
  	class: 得罪  	d: 8  	pt: 2.0  	diff:  冒犯A0.6666666666666666 触犯A0.3333333333333333 得罪B1.0
  	class: 心安  	d: 7  	pt: 2.0  	diff:  宽慰A1.0 安心B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  钦佩A1.0 佩B1.0
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  压迫A0.3333333333333333 榨取A0.3333333333333333 压榨A0.3333333333333333 搂B1.0
  	class: 承揽  	d: 10  	pt: 2.0  	diff:  承包A0.5 揽A0.5 包揽B1.0
  	class: 抱  	d: 3  	pt: 2.0  	diff:  拥抱A1.0 抱抱B1.0
  	class: 闲置  	d: 9  	pt: 2.0  	diff:  搁置A1.0 搁B1.0
  	class: 脱  	d: 4  	pt: 2.0  	diff:  松开A1.0 卸下B1.0
  	class: 拆  	d: 8  	pt: 2.0  	diff:  拆解A1.0 拆开B1.0
  	class: 洗  	d: 15  	pt: 2.0  	diff:  清洗A1.0 洗洗B0.25 保洁B0.625 澡B0.125
  	class: 沉浸  	d: 3  	pt: 2.0  	diff:  沐浴A1.0 沉浸B1.0
  	class: 吸  	d: 6  	pt: 2.0  	diff:  吸气A1.0 抽烟B0.875 吸B0.125
  	class: 访问  	d: 10  	pt: 2.0  	diff:  访问A0.9340659340659341 做客A0.054945054945054944 顾A0.01098901098901099 拜访B1.0
  	class: 鸟瞰  	d: 3  	pt: 2.0  	diff:  鸟瞰A1.0 俯视B1.0
  	class: 闻到  	d: 2  	pt: 2.0  	diff:  嗅到A1.0 闻到B1.0
  	class: 紧靠  	d: 7  	pt: 2.0  	diff:  附A1.0 紧贴B1.0
  	class: 解放  	d: 2  	pt: 2.0  	diff:  解放A1.0 翻身B1.0
  	class: 爆裂  	d: 7  	pt: 2.0  	diff:  爆裂A1.0 崩B0.18181818181818182 炸B0.2727272727272727 爆B0.5454545454545454
  	class: 羡慕  	d: 15  	pt: 2.0  	diff:  艳羡A1.0 羡慕B1.0
  	class: 得志  	d: 9  	pt: 2.0  	diff:  得志A1.0 得意B1.0
  	class: 争论  	d: 9  	pt: 2.0  	diff:  争论A0.2857142857142857 争议A0.7142857142857143 争执B0.25 计较B0.75
  	class: 沉迷  	d: 16  	pt: 2.0  	diff:  痴迷A0.3333333333333333 着迷A0.3333333333333333 迷A0.3333333333333333 沉迷B0.3333333333333333 迷恋B0.6666666666666666
  	class: 打听  	d: 12  	pt: 2.0  	diff:  询问A1.0 叩问B0.5 探听B0.5
  	class: 抵抗  	d: 11  	pt: 2.0  	diff:  反抗A0.5 抵御A0.5 抵挡B1.0
  	class: 发动  	d: 8  	pt: 2.0  	diff:  总动员A1.0 兴师动众B1.0
  	class: 抗拒  	d: 5  	pt: 2.0  	diff:  抵制A0.6666666666666666 抗拒A0.3333333333333333 抗B1.0
  	class: 驻扎  	d: 10  	pt: 2.0  	diff:  驻A1.0 屯B1.0
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  抢占A1.0 侵吞B1.0
  	class: 撤销  	d: 10  	pt: 2.0  	diff:  取消A0.8333333333333334 撤销A0.16666666666666666 注销B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤出A1.0 撤离B1.0
  	class: 命名  	d: 5  	pt: 2.0  	diff:  命名A1.0 取名B1.0
  	class: 表扬  	d: 4  	pt: 2.0  	diff:  表扬A1.0 表彰B1.0
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租用A0.5 租赁A0.5 租下B1.0
  	class: 挤出  	d: 3  	pt: 2.0  	diff:  腾出A1.0 抽出B0.3333333333333333 挤出B0.6666666666666666
  	class: 编录  	d: 5  	pt: 2.0  	diff:  摘录A1.0 剪辑B1.0
  	class: 诊断  	d: 2  	pt: 2.0  	diff:  诊断A1.0 确诊B1.0
  	class: 做伴  	d: 5  	pt: 2.0  	diff:  相伴A1.0 作伴B1.0
  	class: 招待  	d: 3  	pt: 2.0  	diff:  接待A1.0 招待B1.0
  	class: 出借  	d: 5  	pt: 2.0  	diff:  放贷A1.0 借给B1.0
  	class: 排挤  	d: 9  	pt: 2.0  	diff:  排斥A1.0 互斥B0.5 倾轧B0.5
  	class: 勾结  	d: 12  	pt: 2.0  	diff:  勾结A1.0 勾搭B1.0
  	class: 入行  	d: 2  	pt: 2.0  	diff:  入行A1.0 出道B1.0
  	class: 开市  	d: 6  	pt: 2.0  	diff:  开业A0.3333333333333333 开篇A0.6666666666666666 开饭B1.0
  	class: 横死  	d: 11  	pt: 2.0  	diff:  身亡A1.0 送命B1.0
  	class: 开花  	d: 12  	pt: 2.0  	diff:  开放A0.9705882352941176 开花A0.029411764705882353 盛开B1.0
  	class: 挽回  	d: 4  	pt: 2.0  	diff:  扭转A1.0 挽回B1.0
  	class: 争先  	d: 6  	pt: 2.0  	diff:  抢先A1.0 争相B1.0
  	class: 沾光  	d: 4  	pt: 2.0  	diff:  受益A1.0 讨巧B1.0
  	class: 胜败  	d: 5  	pt: 2.0  	diff:  成败A1.0 输赢B1.0
  	class: 加剧  	d: 10  	pt: 2.0  	diff:  强化A0.890625 加剧A0.015625 加深A0.0625 火上浇油A0.015625 激化A0.015625 加重B1.0
  	class: 算  	d: 5  	pt: 2.0  	diff:  算作A1.0 当成B1.0
  	class: 免得  	d: 5  	pt: 2.0  	diff:  免受A1.0 免得B1.0
  	class: 捆  	d: 15  	pt: 1.9999999999999998  	diff:  捆绑A1.0 包扎B0.6666666666666666 箍B0.3333333333333333
  	class: 喷  	d: 15  	pt: 1.9999999999999998  	diff:  喷气A0.5 喷发A0.5 喷B0.4 射B0.4 喷射B0.2
  	class: 梦幻  	d: 9  	pt: 1.9999999999999998  	diff:  梦见A1.0 梦B0.6666666666666666 梦幻B0.3333333333333333
  	class: 风景  	d: 14  	pt: 1.9999999999999998  	diff:  风景A1.0 风光B0.6666666666666666 景点B0.3333333333333333
  	class: 稳重  	d: 11  	pt: 1.9999999999999998  	diff:  稳健A1.0 稳重B0.6666666666666666 沉稳B0.3333333333333333
  	class: 领会  	d: 8  	pt: 1.9999999999999998  	diff:  领悟A1.0 领会B0.6666666666666666 会心B0.3333333333333333
  	class: 母  	d: 10  	pt: 1.9854014598540146  	diff:  母亲AB0.9927007299270073 妈B0.9927007299270073
  	class: 协商  	d: 25  	pt: 1.9807692307692308  	diff:  说道A0.1346153846153846 协议A0.7884615384615384 商A0.04807692307692308 情商AB0.9903846153846154 协商A0.009615384615384616 商议A0.009615384615384616
  	class: 驾驶  	d: 3  	pt: 1.9644970414201184  	diff:  驾驶A0.9822485207100592 驾AB0.4940828402366864 驾驭AB0.4881656804733728
  	class: 推测  	d: 16  	pt: 1.9615384615384615  	diff:  推断A0.5769230769230769 推测A0.19230769230769232 想来AB0.9807692307692307 推论A0.21153846153846154
  	class: 记  	d: 5  	pt: 1.956989247311828  	diff:  笔记A0.956989247311828 记AB0.978494623655914 速记A0.021505376344086023
  	class: 合并  	d: 24  	pt: 1.951219512195122  	diff:  并入A0.024390243902439025 合并A0.36585365853658536 集成A0.5365853658536586 联结A0.024390243902439025 联A0.024390243902439025 拼AB0.975609756097561
  	class: 范围  	d: 6  	pt: 1.948051948051948  	diff:  层面A0.2987012987012987 规模A0.6753246753246753 局面AB0.14069264069264067 圈圈B0.8333333333333334
  	class: 意旨  	d: 4  	pt: 1.9444444444444444  	diff:  旨在A0.9722222222222222 心意AB0.9722222222222222
  	class: 结论  	d: 5  	pt: 1.9411764705882353  	diff:  结论A0.9705882352941176 定论AB0.9705882352941176
  	class: 就是  	d: 9  	pt: 1.9310344827586206  	diff:  视为A0.7586206896551724 便是A0.1724137931034483 算得A0.034482758620689655 身为AB0.9655172413793104
  	class: 标注  	d: 4  	pt: 1.9230769230769231  	diff:  标注A0.8461538461538461 标出A0.11538461538461539 标AB0.9615384615384616
  	class: 连接  	d: 22  	pt: 1.9130434782608692  	diff:  连结A0.08695652173913043 连通A0.6086956521739131 接入A0.08695652173913043 通AB0.09937888198757763 过渡A0.08695652173913043 对接A0.08695652173913043 接B0.7619047619047619 衔接B0.09523809523809523
  	class: 布局  	d: 2  	pt: 1.9  	diff:  布局A0.95 格局AB0.95
  	class: 档案  	d: 2  	pt: 1.8947368421052633  	diff:  档AB0.9473684210526316 档案A0.9473684210526315
  	class: 继续  	d: 16  	pt: 1.8888888888888888  	diff:  后续A0.8888888888888888 继承AB0.9444444444444444 延续A0.05555555555555555
  	class: 特辑  	d: 6  	pt: 1.8823529411764706  	diff:  专栏A0.9411764705882353 专辑AB0.9411764705882353
  	class: 集合  	d: 28  	pt: 1.8775510204081634  	diff:  集合A0.5714285714285714 聚合A0.12244897959183673 汇聚A0.02040816326530612 聚A0.02040816326530612 集AB0.06377551020408163 聚拢A0.02040816326530612 集聚A0.02040816326530612 聚集A0.14285714285714285 汇A0.02040816326530612 凑合B0.625 会合B0.125 凑B0.125
  	class: 躲藏  	d: 27  	pt: 1.8775510204081631  	diff:  隐藏A0.8367346938775511 伏A0.02040816326530612 潜伏A0.061224489795918366 躲AB0.6462585034013605 隐蔽A0.02040816326530612 隐形AB0.2925170068027211
  	class: 听  	d: 3  	pt: 1.875  	diff:  收听A0.75 听听A0.1875 听取AB0.9375
  	class: 退步  	d: 13  	pt: 1.866666666666667  	diff:  落后A0.4 落伍AB0.9333333333333333 向下A0.4666666666666667 滞后A0.06666666666666667
  	class: 拿  	d: 12  	pt: 1.8666666666666667  	diff:  持A0.6666666666666666 持枪A0.13333333333333333 拿出AB0.9333333333333333 手持A0.13333333333333333
  	class: 系统  	d: 2  	pt: 1.8611111111111112  	diff:  系统A0.9305555555555556 体系AB0.9305555555555556
  	class: 互相  	d: 11  	pt: 1.8588235294117648  	diff:  交互A0.6588235294117647 并行A0.27058823529411763 相AB0.9294117647058824
  	class: 完成  	d: 18  	pt: 1.8461538461538463  	diff:  成就A0.9230769230769231 到位AB0.4230769230769231 交卷B0.5
