learn:gkw.csv check:ktx.csv 	 Result: 	0.22473286489119315 	8481 	3091
  	class: 概况  	d: 8  	pt: 2.0  	diff:  概况A1.0 轮廓B1.0
  	class: 晚景  	d: 6  	pt: 2.0  	diff:  夜景A1.0 夜色B1.0
  	class: 归于  	d: 8  	pt: 2.0  	diff:  归于A0.5 归入A0.5 归属B1.0
  	class: 反射  	d: 6  	pt: 2.0  	diff:  反射A1.0 反光B1.0
  	class: 过问  	d: 3  	pt: 2.0  	diff:  干预A0.9 过问A0.1 干涉B1.0
  	class: 体形  	d: 4  	pt: 2.0  	diff:  体态A1.0 身段B1.0
  	class: 幻境  	d: 5  	pt: 2.0  	diff:  幻影A1.0 幻梦B1.0
  	class: 通篇  	d: 4  	pt: 2.0  	diff:  全文A1.0 通篇B1.0
  	class: 改名  	d: 6  	pt: 2.0  	diff:  更名A0.5714285714285714 改名A0.42857142857142855 化名B1.0
  	class: 品行  	d: 7  	pt: 2.0  	diff:  操守A1.0 品德B0.6 情操B0.4
  	class: 本领  	d: 4  	pt: 2.0  	diff:  能耐A1.0 身手B1.0
  	class: 春情  	d: 6  	pt: 2.0  	diff:  春意A1.0 风情B1.0
  	class: 意志  	d: 5  	pt: 2.0  	diff:  意志A1.0 定性B1.0
  	class: 阴谋  	d: 6  	pt: 2.0  	diff:  诡计A1.0 阴谋B1.0
  	class: 毒害  	d: 5  	pt: 2.0  	diff:  毒害A0.7272727272727273 流毒A0.2727272727272727 蛊惑B1.0
  	class: 首都  	d: 12  	pt: 2.0  	diff:  京师A1.0 京B1.0
  	class: 小康  	d: 6  	pt: 2.0  	diff:  温饱A1.0 过得去B1.0
  	class: 会议  	d: 3  	pt: 2.0  	diff:  会议A0.9333333333333333 议会A0.06666666666666667 集会B1.0
  	class: 茶话会  	d: 2  	pt: 2.0  	diff:  茶会A1.0 茶话会B1.0
  	class: 帐目  	d: 4  	pt: 2.0  	diff:  账目A1.0 账B1.0
  	class: 吝啬  	d: 16  	pt: 2.0  	diff:  吝啬A1.0 抠门B0.75 小气B0.25
  	class: 考题  	d: 4  	pt: 2.0  	diff:  课题A0.75 试题A0.25 考题B1.0
  	class: 耳语  	d: 12  	pt: 2.0  	diff:  耳语A1.0 囔囔B1.0
  	class: 疏浚  	d: 9  	pt: 2.0  	diff:  疏导A0.5 疏A0.5 宣泄B1.0
  	class: 处方  	d: 4  	pt: 2.0  	diff:  药方A0.25 处方A0.75 方子B1.0
  	class: 丛书  	d: 4  	pt: 2.0  	diff:  文库A1.0 丛书B1.0
  	class: 特辑  	d: 6  	pt: 2.0  	diff:  专栏A0.875 特刊A0.125 特辑B0.25 专辑B0.75
  	class: 不孕  	d: 3  	pt: 2.0  	diff:  不孕症A0.8 不育症A0.2 不孕B1.0
  	class: 毒瘤  	d: 8  	pt: 2.0  	diff:  癌细胞A1.0 癌B1.0
  	class: 监狱  	d: 18  	pt: 2.0  	diff:  囚笼A1.0 铁栏杆B0.5 监狱B0.5
  	class: 倍数  	d: 4  	pt: 2.0  	diff:  倍数A1.0 倍儿B1.0
  	class: 一眨眼  	d: 39  	pt: 2.0  	diff:  一晃A1.0 转眼B1.0
  	class: 贫乏  	d: 7  	pt: 2.0  	diff:  枯竭A1.0 匮乏B1.0
  	class: 耸立  	d: 13  	pt: 2.0  	diff:  坚挺A1.0 屹立B1.0
  	class: 高大  	d: 9  	pt: 2.0  	diff:  伟岸A1.0 魁梧B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  颠覆A1.0 翻天B1.0
  	class: 宽敞  	d: 10  	pt: 2.0  	diff:  宽阔A1.0 宽敞B1.0
  	class: 凹  	d: 9  	pt: 2.0  	diff:  凹A1.0 洼B1.0
  	class: 升降  	d: 9  	pt: 2.0  	diff:  涨落A0.16666666666666666 起伏A0.3333333333333333 起降A0.16666666666666666 沉降A0.16666666666666666 涨跌A0.16666666666666666 升降B1.0
  	class: 稠  	d: 4  	pt: 2.0  	diff:  粘稠A1.0 稠B1.0
  	class: 简短  	d: 10  	pt: 2.0  	diff:  简洁A1.0 精简B1.0
  	class: 黏  	d: 4  	pt: 2.0  	diff:  黏A1.0 黏糊B1.0
  	class: 淡薄  	d: 2  	pt: 2.0  	diff:  淡化A1.0 淡薄B1.0
  	class: 激昂  	d: 19  	pt: 2.0  	diff:  有神A1.0 昂昂B1.0
  	class: 清澈  	d: 13  	pt: 2.0  	diff:  清冽A0.2 清澈A0.8 清亮B1.0
  	class: 绚丽  	d: 19  	pt: 2.0  	diff:  灿烂A0.2 绚丽A0.8 灿B1.0
  	class: 飞驰  	d: 5  	pt: 2.0  	diff:  奔驰A0.75 飞驰A0.25 疾驰B1.0
  	class: 凉  	d: 10  	pt: 2.0  	diff:  荫凉A1.0 清凉B1.0
  	class: 新式  	d: 12  	pt: 2.0  	diff:  新式A1.0 新颖B1.0
  	class: 古朴  	d: 3  	pt: 2.0  	diff:  古朴A1.0 古色古香B1.0
  	class: 假想  	d: 5  	pt: 2.0  	diff:  假想A1.0 幻B1.0
  	class: 活像  	d: 8  	pt: 2.0  	diff:  酷似A1.0 神似B1.0
  	class: 变样  	d: 2  	pt: 2.0  	diff:  变样A1.0 走样B1.0
  	class: 刁难  	d: 9  	pt: 2.0  	diff:  出难题A1.0 刁难B0.75 作对B0.25
  	class: 广博  	d: 11  	pt: 2.0  	diff:  广袤A1.0 博大B1.0
  	class: 站稳  	d: 5  	pt: 2.0  	diff:  站立A1.0 站稳B1.0
  	class: 无愧  	d: 11  	pt: 2.0  	diff:  对得起A1.0 无愧于B1.0
  	class: 流泪  	d: 7  	pt: 2.0  	diff:  流泪A1.0 落泪B1.0
  	class: 消遥  	d: 8  	pt: 2.0  	diff:  逍遥A1.0 自得B1.0
  	class: 出面  	d: 4  	pt: 2.0  	diff:  出台A1.0 出面B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  痛心A0.6666666666666666 悲痛A0.3333333333333333 悲壮B1.0
  	class: 调解  	d: 13  	pt: 2.0  	diff:  调解A1.0 劝和B0.5 圆场B0.5
  	class: 放肆  	d: 28  	pt: 2.0  	diff:  猖狂A0.3333333333333333 猖獗A0.6666666666666666 狂妄B0.6 嚣张B0.4
  	class: 马虎  	d: 12  	pt: 2.0  	diff:  草草A1.0 草率B1.0
  	class: 温顺  	d: 13  	pt: 2.0  	diff:  柔顺A0.5 随和A0.5 一团和气B1.0
  	class: 降伏  	d: 5  	pt: 2.0  	diff:  驯服A1.0 折服B1.0
  	class: 倔强  	d: 7  	pt: 2.0  	diff:  倔A1.0 倔强B1.0
  	class: 不甘  	d: 6  	pt: 2.0  	diff:  不甘A1.0 不愿B1.0
  	class: 清高  	d: 13  	pt: 2.0  	diff:  脱俗A1.0 清高B0.3333333333333333 孤傲B0.6666666666666666
  	class: 吆喝  	d: 5  	pt: 2.0  	diff:  喝A1.0 吆喝B1.0
  	class: 消遣  	d: 8  	pt: 2.0  	diff:  解闷A1.0 消遣B1.0
  	class: 摸  	d: 3  	pt: 2.0  	diff:  摸摸A1.0 摸出B1.0
  	class: 把握  	d: 4  	pt: 2.0  	diff:  握住A1.0 把握B1.0
  	class: 闲置  	d: 9  	pt: 2.0  	diff:  搁置A1.0 搁B0.8 撂B0.2
  	class: 松手  	d: 4  	pt: 2.0  	diff:  松手A1.0 放手B0.3333333333333333 撒手B0.6666666666666666
  	class: 推卸  	d: 8  	pt: 2.0  	diff:  卸A1.0 推脱B0.5 推诿B0.5
  	class: 切割  	d: 2  	pt: 2.0  	diff:  切割A1.0 割B1.0
  	class: 修理  	d: 7  	pt: 2.0  	diff:  修缮A1.0 弥合B1.0
  	class: 搬动  	d: 3  	pt: 2.0  	diff:  搬动A1.0 腾挪B1.0
  	class: 怂恿  	d: 14  	pt: 2.0  	diff:  煽动A0.5 扇动A0.5 教唆B0.5 撺掇B0.5
  	class: 摆布  	d: 3  	pt: 2.0  	diff:  摆弄A1.0 拨弄B1.0
  	class: 拔腿  	d: 5  	pt: 2.0  	diff:  迈开A1.0 迈步B1.0
  	class: 改过  	d: 25  	pt: 2.0  	diff:  悔过A0.5 洗心革面A0.5 回头B0.8181818181818182 改过B0.18181818181818182
  	class: 睁眼  	d: 4  	pt: 2.0  	diff:  睁A1.0 睁眼B1.0
  	class: 观望  	d: 10  	pt: 2.0  	diff:  观望A1.0 旁观B1.0
  	class: 紧靠  	d: 7  	pt: 2.0  	diff:  附A1.0 促B1.0
  	class: 狂喜  	d: 14  	pt: 2.0  	diff:  销魂A1.0 狂喜B1.0
  	class: 惹气  	d: 7  	pt: 2.0  	diff:  惹恼A1.0 可气B0.5 赌气B0.5
  	class: 泄恨  	d: 6  	pt: 2.0  	diff:  泄愤A1.0 撒气B1.0
  	class: 喘息  	d: 9  	pt: 2.0  	diff:  气短A1.0 喘息B1.0
