learn:gkw.csv check:mm.csv 	 Result: 	0.24131683703322554 	6319 	2290
  	class: 谢绝  	d: 8  	pt: 2.0  	diff:  谢绝A1.0 婉拒B1.0
  	class: 萧条  	d: 5  	pt: 2.0  	diff:  低迷A1.0 清淡B1.0
  	class: 读本  	d: 6  	pt: 2.0  	diff:  教科书A1.0 教材B1.0
  	class: 特辑  	d: 6  	pt: 2.0  	diff:  专栏A0.875 特刊A0.125 专辑B1.0
  	class: 公安局  	d: 10  	pt: 2.0  	diff:  警方A1.0 派出所B1.0
  	class: 宽度  	d: 19  	pt: 2.0  	diff:  涨幅A0.125 宽度A0.375 步幅A0.0625 增长率A0.125 幅度A0.125 增幅A0.125 肥瘦A0.0625 开间B1.0
  	class: 总数  	d: 3  	pt: 2.0  	diff:  总数A1.0 总和B1.0
  	class: 出头  	d: 10  	pt: 2.0  	diff:  转运A0.8333333333333334 出头A0.16666666666666666 起色B1.0
  	class: 倍数  	d: 4  	pt: 2.0  	diff:  倍数A1.0 倍儿B1.0
  	class: 一眨眼  	d: 39  	pt: 2.0  	diff:  一晃A1.0 转眼B1.0
  	class: 细  	d: 11  	pt: 2.0  	diff:  细长A0.3333333333333333 细细A0.3333333333333333 纤细A0.3333333333333333 细高B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  颠覆A1.0 变天B1.0
  	class: 深刻  	d: 10  	pt: 2.0  	diff:  尖锐A1.0 力透纸背B1.0
  	class: 圆滑  	d: 15  	pt: 2.0  	diff:  灵活性A0.8 圆滑A0.2 油滑B1.0
  	class: 久违  	d: 2  	pt: 2.0  	diff:  少见A1.0 久违B1.0
  	class: 齐全  	d: 9  	pt: 2.0  	diff:  完备A1.0 全称B1.0
  	class: 软  	d: 11  	pt: 2.0  	diff:  柔软A0.8235294117647058 软软A0.058823529411764705 松软A0.058823529411764705 柔A0.058823529411764705 心软B1.0
  	class: 通顺  	d: 10  	pt: 2.0  	diff:  流畅A1.0 流利B1.0
  	class: 变样  	d: 2  	pt: 2.0  	diff:  变样A1.0 走样B1.0
  	class: 凸起  	d: 8  	pt: 2.0  	diff:  崛起A0.5 凸起A0.5 暴B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  平板A1.0 呆滞B1.0
  	class: 无愧  	d: 11  	pt: 2.0  	diff:  对得起A1.0 硬气B0.5 不愧B0.5
