learn:ktx.csv check:mm.csv 	 Result: 	0.2287822316668106 	5626 	2222
  	class: 溢  	d: 8  	pt: 2.0  	diff:  泛滥A1.0 涌B0.5 溢出B0.5
  	class: 简短  	d: 10  	pt: 2.0  	diff:  精简A1.0 简洁B1.0
  	class: 激昂  	d: 19  	pt: 2.0  	diff:  昂昂A1.0 有神B1.0
  	class: 绚丽  	d: 19  	pt: 2.0  	diff:  灿A1.0 灿烂B1.0
  	class: 鲜艳  	d: 12  	pt: 2.0  	diff:  明艳A0.5 美艳A0.5 鲜艳B0.5 妩媚B0.5
  	class: 散发  	d: 3  	pt: 2.0  	diff:  泛A0.6666666666666666 散发A0.3333333333333333 分发B1.0
  	class: 无愧  	d: 11  	pt: 2.0  	diff:  无愧于A1.0 硬气B0.5 不愧B0.5
  	class: 出面  	d: 4  	pt: 2.0  	diff:  出面A1.0 出台B1.0
  	class: 顺便  	d: 9  	pt: 2.0  	diff:  顺带A0.5 捎带A0.5 附带B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  悲壮A1.0 悲愤B1.0
  	class: 安稳  	d: 3  	pt: 2.0  	diff:  笃定A1.0 安稳B1.0
  	class: 直言  	d: 8  	pt: 2.0  	diff:  直言A1.0 直说B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  倾心A1.0 看上B1.0
  	class: 温顺  	d: 13  	pt: 2.0  	diff:  一团和气A1.0 柔顺B0.2 随和B0.2 乖B0.6
  	class: 做作  	d: 20  	pt: 2.0  	diff:  装腔作势A0.5 装腔A0.5 做作B1.0
  	class: 解脱  	d: 8  	pt: 2.0  	diff:  解脱A0.3333333333333333 摆脱A0.6666666666666666 开脱B1.0
  	class: 清高  	d: 13  	pt: 2.0  	diff:  清高A0.3333333333333333 孤傲A0.6666666666666666 脱俗B1.0
  	class: 认真  	d: 11  	pt: 2.0  	diff:  较真A1.0 动真格B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  佩服A1.0 佩B1.0
  	class: 揭露  	d: 7  	pt: 2.0  	diff:  揭A0.16666666666666666 揭露A0.5 点破A0.3333333333333333 揭开B1.0
  	class: 推卸  	d: 8  	pt: 2.0  	diff:  推脱A0.5 推诿A0.5 推卸B1.0
  	class: 怂恿  	d: 14  	pt: 2.0  	diff:  教唆A0.5 撺掇A0.5 怂B1.0
  	class: 招手  	d: 2  	pt: 2.0  	diff:  摆手A1.0 招手B1.0
  	class: 奔波  	d: 6  	pt: 2.0  	diff:  奔波A1.0 奔走B1.0
  	class: 清理  	d: 4  	pt: 2.0  	diff:  理清A1.0 清理B1.0
  	class: 目睹  	d: 12  	pt: 2.0  	diff:  目睹A1.0 观摩B1.0
  	class: 听  	d: 3  	pt: 2.0  	diff:  收听A0.5 听听A0.5 听取B1.0
  	class: 呻吟  	d: 3  	pt: 2.0  	diff:  哼哼A1.0 呻吟B0.5 打呼B0.5
  	class: 紧靠  	d: 7  	pt: 2.0  	diff:  促A1.0 紧贴B1.0
  	class: 趴  	d: 3  	pt: 2.0  	diff:  趴A1.0 趴下B1.0
  	class: 实现  	d: 6  	pt: 2.0  	diff:  贯彻A1.0 落实B1.0
  	class: 上瘾  	d: 4  	pt: 2.0  	diff:  成瘾A1.0 上瘾B1.0
  	class: 报答  	d: 6  	pt: 2.0  	diff:  答A1.0 报答B1.0
  	class: 挂念  	d: 15  	pt: 2.0  	diff:  牵挂A0.5 悬念A0.5 挂念B1.0
  	class: 打听  	d: 12  	pt: 2.0  	diff:  询问A0.6666666666666666 打听A0.3333333333333333 叩问B0.5 探听B0.5
  	class: 看破  	d: 4  	pt: 2.0  	diff:  看透A0.5 看破A0.5 看穿B1.0
  	class: 推翻  	d: 5  	pt: 2.0  	diff:  击倒A1.0 推倒B1.0
  	class: 抵抗  	d: 11  	pt: 2.0  	diff:  抵御A0.25 反抗A0.75 抵挡B1.0
  	class: 发动  	d: 8  	pt: 2.0  	diff:  动员A1.0 兴师动众B1.0
  	class: 起跑  	d: 10  	pt: 2.0  	diff:  开拍A1.0 开张B0.5 开课B0.5
  	class: 驻扎  	d: 10  	pt: 2.0  	diff:  驻A0.5 进驻A0.5 屯B1.0
  	class: 侵吞  	d: 9  	pt: 2.0  	diff:  抢占A1.0 侵吞B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  离去A1.0 撤离B1.0
  	class: 招认  	d: 5  	pt: 2.0  	diff:  认罪A1.0 交待B1.0
  	class: 交卸  	d: 4  	pt: 2.0  	diff:  交割A1.0 移交B1.0
  	class: 编织  	d: 2  	pt: 2.0  	diff:  编织A1.0 织B1.0
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租用A1.0 租下B1.0
  	class: 还债  	d: 5  	pt: 2.0  	diff:  还贷A1.0 还款B1.0
  	class: 航空  	d: 3  	pt: 2.0  	diff:  飞行A1.0 航空B1.0
  	class: 出境  	d: 6  	pt: 2.0  	diff:  出境A1.0 出国B1.0
  	class: 加快  	d: 7  	pt: 2.0  	diff:  加快A0.5 增速A0.5 加速B1.0
  	class: 卸妆  	d: 3  	pt: 2.0  	diff:  卸妆A1.0 下装B1.0
  	class: 诊断  	d: 2  	pt: 2.0  	diff:  诊断A1.0 确诊B1.0
  	class: 逞能  	d: 4  	pt: 2.0  	diff:  逞能A1.0 逞强B1.0
  	class: 排挤  	d: 9  	pt: 2.0  	diff:  排挤A0.4 排斥A0.6 互斥B0.5 倾轧B0.5
  	class: 勾结  	d: 12  	pt: 2.0  	diff:  勾结A1.0 勾搭B1.0
  	class: 结伴  	d: 4  	pt: 2.0  	diff:  结伴A1.0 搭帮B1.0
  	class: 流浪  	d: 15  	pt: 2.0  	diff:  漂泊A0.3333333333333333 流转A0.6666666666666666 流浪B1.0
  	class: 凑合  	d: 5  	pt: 2.0  	diff:  并拢A1.0 拼接B1.0
  	class: 小睡  	d: 5  	pt: 2.0  	diff:  打瞌睡A1.0 打盹儿B1.0
  	class: 烘  	d: 5  	pt: 2.0  	diff:  烘A1.0 烘焙B1.0
  	class: 抽搐  	d: 8  	pt: 2.0  	diff:  抽筋A1.0 抽搐B1.0
  	class: 出血  	d: 7  	pt: 2.0  	diff:  流血A1.0 出血B1.0
  	class: 开花  	d: 12  	pt: 2.0  	diff:  开放A0.5333333333333333 开花A0.4 绽放A0.06666666666666667 盛开B1.0
  	class: 吃苦  	d: 6  	pt: 2.0  	diff:  遭罪A1.0 吃苦B1.0
  	class: 受累  	d: 2  	pt: 2.0  	diff:  黑锅A1.0 受累B1.0
  	class: 散场  	d: 4  	pt: 2.0  	diff:  落幕A1.0 散场B1.0
  	class: 减半  	d: 3  	pt: 2.0  	diff:  扣除A1.0 减半B1.0
  	class: 免得  	d: 5  	pt: 2.0  	diff:  免于A1.0 免得B1.0
  	class: 捆  	d: 15  	pt: 1.9999999999999998  	diff:  绑A0.6 捆A0.2 捆绑A0.2 包扎B0.6666666666666666 箍B0.3333333333333333
  	class: 全部  	d: 35  	pt: 1.9999999999999998  	diff:  方方面面A0.25 遍A0.5 万事A0.25 凡事B0.6666666666666666 成套B0.3333333333333333
  	class: 贫穷  	d: 24  	pt: 1.9999999999999998  	diff:  贫穷A0.7142857142857143 穷困A0.14285714285714285 穷苦A0.14285714285714285 艰B0.3333333333333333 贫困B0.3333333333333333 赤贫B0.3333333333333333
  	class: 歌手  	d: 8  	pt: 1.894736842105263  	diff:  歌者A0.05263157894736842 歌手A0.8421052631578947 歌星AB0.9473684210526316 演唱者A0.05263157894736842
  	class: 迷惑  	d: 13  	pt: 1.8888888888888888  	diff:  疑惑A0.6666666666666666 纳闷A0.2222222222222222 困惑AB0.9444444444444444 迷惑A0.05555555555555555
  	class: 名称  	d: 4  	pt: 1.846153846153846  	diff:  名称AB0.9230769230769231 称谓A0.7307692307692307 称号A0.19230769230769232
  	class: 第一  	d: 18  	pt: 1.8333333333333335  	diff:  首度A0.08333333333333333 处女AB0.9166666666666666 头条A0.8333333333333334
  	class: 推理  	d: 5  	pt: 1.8181818181818181  	diff:  演绎A0.9090909090909091 推理AB0.9090909090909091
  	class: 继续  	d: 16  	pt: 1.8095238095238098  	diff:  后续A0.6190476190476191 延续A0.23809523809523808 蝉联A0.047619047619047616 继承AB0.9047619047619048
  	class: 人数  	d: 8  	pt: 1.8  	diff:  人数A0.4 人口A0.3 食指A0.1 口AB0.9 人头A0.1
  	class: 头  	d: 10  	pt: 1.7999999999999998  	diff:  满头AB0.9 脑袋A0.5 脑壳A0.2 头部A0.2
  	class: 商人  	d: 9  	pt: 1.7777777777777777  	diff:  商人A0.6666666666666666 巨商A0.1111111111111111 经纪人AB0.8888888888888888 生意人A0.1111111111111111
  	class: 抱  	d: 3  	pt: 1.7777777777777777  	diff:  拥抱A0.8888888888888888 抱抱AB0.8888888888888888
  	class: 忍耐  	d: 10  	pt: 1.7777777777777777  	diff:  耐A0.5 容忍AB0.3888888888888889 忍耐B0.7777777777777778 隐忍B0.1111111111111111
  	class: 书籍  	d: 8  	pt: 1.75  	diff:  书籍A0.375 图书A0.375 本本AB0.875 书本A0.125
  	class: 落空  	d: 11  	pt: 1.75  	diff:  吹AB0.7840909090909091 一场空A0.045454545454545456 落空A0.045454545454545456 漂B0.75 未遂B0.125
  	class: 约束  	d: 17  	pt: 1.7499999999999998  	diff:  牢笼A0.375 框A0.25 绳A0.25 羁绊AB0.20833333333333331 格B0.3333333333333333 自律B0.3333333333333333
  	class: 座位  	d: 6  	pt: 1.7435897435897436  	diff:  座位A0.8717948717948718 位子AB0.8717948717948718
  	class: 查阅  	d: 6  	pt: 1.7189542483660132  	diff:  翻看A0.1111111111111111 查AB0.7483660130718954 查看AB0.8594771241830066
  	class: 外祖母  	d: 3  	pt: 1.7142857142857144  	diff:  姥姥A0.8571428571428571 外婆AB0.8571428571428572
  	class: 赞成  	d: 4  	pt: 1.7142857142857144  	diff:  倾向A0.8571428571428571 赞同AB0.8571428571428572
  	class: 退步  	d: 13  	pt: 1.7142857142857144  	diff:  后退A0.35714285714285715 倒退A0.07142857142857142 落伍AB0.8571428571428572 落后A0.42857142857142855
  	class: 团结  	d: 27  	pt: 1.7142857142857144  	diff:  团结A0.8571428571428571 合力AB0.8571428571428572
  	class: 杰出  	d: 36  	pt: 1.7142857142857142  	diff:  典型AB0.7518796992481203 榜首A0.05263157894736842 杰出A0.05263157894736842 超人B0.7857142857142857 出众B0.07142857142857142
  	class: 割裂  	d: 7  	pt: 1.7142857142857142  	diff:  隔绝A0.5714285714285714 割裂A0.14285714285714285 隔断AB0.8571428571428572 隔离A0.14285714285714285
  	class: 男人  	d: 9  	pt: 1.6999999999999997  	diff:  男士AB0.85 男子A0.7 男儿A0.15
  	class: 情面  	d: 5  	pt: 1.6666666666666667  	diff:  脸皮A0.3333333333333333 老脸AB0.8333333333333334 情面A0.5
  	class: 久违  	d: 2  	pt: 1.6666666666666667  	diff:  久违AB0.8333333333333334 少见A0.8333333333333334
