learn:jqzx.csv check:xsx.csv 	 Result: 	0.2693865802242115 	5336 	2008
  	class: 晒  	d: 5  	pt: 2.0  	diff:  曝A1.0 晒B0.9230769230769231 晾晒B0.07692307692307693
  	class: 拿获  	d: 8  	pt: 2.0  	diff:  捕获A1.0 抓获B1.0
  	class: 光照  	d: 3  	pt: 2.0  	diff:  光照A1.0 日照B1.0
  	class: 涨潮  	d: 5  	pt: 2.0  	diff:  提速A1.0 涨价B1.0
  	class: 命中  	d: 8  	pt: 2.0  	diff:  命中A1.0 击中B1.0
  	class: 吃苦  	d: 6  	pt: 2.0  	diff:  受罪A1.0 受苦B1.0
  	class: 入选  	d: 7  	pt: 2.0  	diff:  入选A0.7058823529411765 选中A0.23529411764705882 当选A0.058823529411764705 相中B1.0
  	class: 胜败  	d: 5  	pt: 2.0  	diff:  成败A1.0 输赢B1.0
  	class: 打垮  	d: 2  	pt: 2.0  	diff:  搞垮A1.0 打垮B1.0
  	class: 免得  	d: 5  	pt: 2.0  	diff:  免受A0.8 免于A0.2 免得B1.0
  	class: 生疏  	d: 5  	pt: 1.9999999999999998  	diff:  外行A1.0 生疏B0.6666666666666666 生僻B0.3333333333333333
  	class: 奔泻  	d: 12  	pt: 1.9999999999999998  	diff:  倾注A1.0 流下B0.3333333333333333 泻B0.3333333333333333 倾泻B0.3333333333333333
  	class: 责备  	d: 30  	pt: 1.9999999999999998  	diff:  诟病A1.0 数落B0.09090909090909091 怨B0.09090909090909091 呲B0.2727272727272727 责B0.18181818181818182 熊B0.18181818181818182 指责B0.09090909090909091 责怪B0.09090909090909091
  	class: 灵巧  	d: 12  	pt: 1.9999999999999998  	diff:  灵活A0.9761904761904762 灵A0.023809523809523808 圆通B0.3333333333333333 灵便B0.3333333333333333 灵巧B0.3333333333333333
  	class: 倒霉  	d: 17  	pt: 1.9999999999999998  	diff:  不幸A1.0 丧气B0.6666666666666666 倒霉B0.3333333333333333
  	class: 真诚  	d: 37  	pt: 1.9999999999999998  	diff:  实心A0.5 诚心A0.5 真诚B0.5384615384615384 义气B0.07692307692307693 虔诚B0.15384615384615385 真切B0.15384615384615385 真挚B0.07692307692307693
  	class: 克制  	d: 10  	pt: 1.9999999999999998  	diff:  按压A1.0 自制B0.3333333333333333 憋B0.3333333333333333 克制B0.3333333333333333
  	class: 分店  	d: 7  	pt: 1.9999999999999998  	diff:  子公司A1.0 分行B0.6666666666666666 分公司B0.3333333333333333
  	class: 取暖  	d: 4  	pt: 1.9999999999999998  	diff:  悟A1.0 暖和B0.25 暖B0.6666666666666666 取暖B0.08333333333333333
  	class: 挥动  	d: 7  	pt: 1.9999999999999998  	diff:  挥动A1.0 挥手B0.6666666666666666 抡B0.3333333333333333
  	class: 怜悯  	d: 16  	pt: 1.9999999999999998  	diff:  怜悯A1.0 同情B0.6666666666666666 怜惜B0.3333333333333333
  	class: 号召  	d: 5  	pt: 1.9999999999999998  	diff:  召唤A1.0 号召B0.6666666666666666 感召B0.3333333333333333
  	class: 开花  	d: 12  	pt: 1.9999999999999998  	diff:  开放A1.0 绽开B0.3333333333333333 绽放B0.3333333333333333 开花B0.3333333333333333
  	class: 防守  	d: 12  	pt: 1.975609756097561  	diff:  防守AB0.4878048780487805 防御A0.9878048780487805 守卫B0.5
  	class: 概率  	d: 4  	pt: 1.974025974025974  	diff:  概率A0.987012987012987 几率AB0.987012987012987
  	class: 合并  	d: 24  	pt: 1.9737991266375543  	diff:  集成A0.7947598253275109 合并A0.1615720524017467 并入A0.008733624454148471 拼AB0.9868995633187773 一统A0.004366812227074236 联结A0.017467248908296942
  	class: 头等  	d: 11  	pt: 1.9710144927536233  	diff:  顶级A0.782608695652174 一流A0.13043478260869565 头号AB0.9855072463768116 世界级A0.07246376811594203
  	class: 加剧  	d: 10  	pt: 1.962686567164179  	diff:  强化A0.9738805970149254 加剧A0.007462686567164179 加深AB0.9813432835820896
  	class: 逼近  	d: 8  	pt: 1.95  	diff:  逼近A0.9 薄A0.075 逼AB0.975
  	class: 归纳  	d: 7  	pt: 1.9411764705882353  	diff:  归纳A0.9411764705882353 集锦A0.029411764705882353 归结AB0.9705882352941176
  	class: 陪伴  	d: 7  	pt: 1.9402985074626864  	diff:  伴随AB0.7975746268656716 伴AB0.17257462686567165 陪B0.44776119402985076 陪伴B0.5223880597014925
  	class: 插  	d: 7  	pt: 1.9393939393939394  	diff:  插入A0.9696969696969697 插AB0.9696969696969697
  	class: 借债  	d: 9  	pt: 1.9375  	diff:  借款AB0.96875 贷B0.8125 借贷B0.15625
  	class: 访问  	d: 10  	pt: 1.9370078740157481  	diff:  访问A0.968503937007874 拜访AB0.9685039370078741
  	class: 继续  	d: 16  	pt: 1.9333333333333336  	diff:  后续A0.5833333333333334 继承A0.38333333333333336 延续AB0.9666666666666667
  	class: 安装  	d: 5  	pt: 1.9298245614035088  	diff:  安装A0.9649122807017544 装置AB0.9649122807017544
  	class: 示范  	d: 8  	pt: 1.9248120300751879  	diff:  示例A0.793233082706767 演示A0.16917293233082706 示范AB0.9624060150375939
