learn:xkd.csv check:xsx.csv 	 Result: 	0.27491142597051604 	6233 	2288
  	class: 端详  	d: 7  	pt: 2.0  	diff:  审视A1.0 端详B1.0
  	class: 晚景  	d: 6  	pt: 2.0  	diff:  夜色A1.0 夜景B1.0
  	class: 用处  	d: 3  	pt: 2.0  	diff:  用途A1.0 用处B1.0
  	class: 笑柄  	d: 3  	pt: 2.0  	diff:  笑柄A1.0 笑谈B1.0
  	class: 容貌  	d: 20  	pt: 2.0  	diff:  面相A0.3333333333333333 面容A0.3333333333333333 面貌A0.3333333333333333 外貌B0.4 模样B0.6
  	class: 厚意  	d: 6  	pt: 2.0  	diff:  盛情A1.0 深情B1.0
  	class: 视力  	d: 3  	pt: 2.0  	diff:  目力A1.0 眼神B0.9 视力B0.1
  	class: 豪气  	d: 4  	pt: 2.0  	diff:  豪气A1.0 英气B1.0
  	class: 也许  	d: 14  	pt: 2.0  	diff:  容许A1.0 指不定B1.0
  	class: 剧团  	d: 7  	pt: 2.0  	diff:  班子A1.0 剧团B1.0
  	class: 力气  	d: 4  	pt: 2.0  	diff:  马力A0.3333333333333333 巧劲A0.3333333333333333 气力A0.3333333333333333 力气B1.0
  	class: 尊称  	d: 2  	pt: 2.0  	diff:  尊称A1.0 大号B1.0
  	class: 姓名  	d: 5  	pt: 2.0  	diff:  姓名A1.0 真名B1.0
  	class: 外号  	d: 4  	pt: 2.0  	diff:  绰号A1.0 外号B1.0
  	class: 记忆力  	d: 3  	pt: 2.0  	diff:  记性A1.0 记忆力B1.0
  	class: 愤怒  	d: 33  	pt: 2.0  	diff:  气愤A0.5 愤慨A0.5 恼怒B0.5 愤怒B0.5
  	class: 落空  	d: 11  	pt: 2.0  	diff:  未遂A0.5 泡汤A0.5 吹B0.45454545454545453 漂B0.45454545454545453 落空B0.09090909090909091
  	class: 干劲  	d: 6  	pt: 2.0  	diff:  干劲A0.5 闯劲A0.5 冲劲B1.0
  	class: 毒害  	d: 5  	pt: 2.0  	diff:  流毒A0.3333333333333333 蛊惑A0.3333333333333333 毒害A0.3333333333333333 荼毒B1.0
  	class: 个体所有制  	d: 4  	pt: 2.0  	diff:  非公有制A1.0 个体户B1.0
  	class: 俗套  	d: 2  	pt: 2.0  	diff:  窠臼A1.0 俗套B1.0
  	class: 复习  	d: 6  	pt: 2.0  	diff:  习A1.0 复习B1.0
  	class: 务农  	d: 6  	pt: 2.0  	diff:  务农A1.0 种地B1.0
  	class: 订约  	d: 11  	pt: 2.0  	diff:  协定A0.4782608695652174 缔结A0.043478260869565216 签订A0.30434782608695654 商定A0.17391304347826086 订B1.0
  	class: 股份  	d: 4  	pt: 2.0  	diff:  股份A1.0 股子B1.0
  	class: 噜苏  	d: 6  	pt: 2.0  	diff:  赘述A1.0 废话B1.0
  	class: 招供  	d: 5  	pt: 2.0  	diff:  招供A0.5 交代A0.5 坦白B1.0
  	class: 单方  	d: 4  	pt: 2.0  	diff:  单方A0.6666666666666666 土方A0.3333333333333333 偏方B1.0
  	class: 注释  	d: 5  	pt: 2.0  	diff:  诠释A1.0 注释B1.0
  	class: 写实  	d: 2  	pt: 2.0  	diff:  写实A1.0 写真B1.0
  	class: 概率  	d: 4  	pt: 2.0  	diff:  概率A1.0 几率B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  颠覆A1.0 变天B1.0
  	class: 宽大  	d: 12  	pt: 2.0  	diff:  宽松A0.75 不严A0.25 宽大B1.0
  	class: 宽敞  	d: 10  	pt: 2.0  	diff:  宽阔A1.0 宽心B1.0
  	class: 安静  	d: 35  	pt: 2.0  	diff:  肃静A0.3333333333333333 沉寂A0.6666666666666666 沉静B0.16666666666666666 清净B0.8333333333333334
  	class: 直  	d: 10  	pt: 2.0  	diff:  垂直A1.0 挺直B0.5 伸直B0.5
  	class: 翘  	d: 6  	pt: 2.0  	diff:  企A1.0 翘B0.3333333333333333 抬B0.16666666666666666 撅B0.5
  	class: 陷  	d: 8  	pt: 2.0  	diff:  沉没A0.5 沉淀A0.5 陷B1.0
  	class: 升降  	d: 9  	pt: 2.0  	diff:  沉降A1.0 起伏B1.0
  	class: 圆滑  	d: 15  	pt: 2.0  	diff:  圆滑A0.1111111111111111 灵活性A0.8888888888888888 世故B1.0
  	class: 暗  	d: 12  	pt: 2.0  	diff:  森A1.0 昏暗B1.0
  	class: 麻痹  	d: 11  	pt: 2.0  	diff:  松懈A0.125 涣散A0.375 松散A0.375 一盘散沙A0.125 松弛B1.0
  	class: 精巧  	d: 22  	pt: 2.0  	diff:  精密A0.3333333333333333 精细A0.6666666666666666 精致B0.9285714285714286 小巧B0.07142857142857142
  	class: 晴  	d: 16  	pt: 2.0  	diff:  清明A1.0 爽朗B1.0
  	class: 便利  	d: 12  	pt: 2.0  	diff:  便捷A0.75 省事A0.25 省心B1.0
  	class: 剧变  	d: 7  	pt: 2.0  	diff:  剧变A1.0 骤变B1.0
  	class: 回头  	d: 3  	pt: 2.0  	diff:  掉头A1.0 扭头B1.0
  	class: 秀美  	d: 17  	pt: 2.0  	diff:  秀丽A1.0 清秀B0.3333333333333333 绮B0.6666666666666666
  	class: 鲜艳  	d: 12  	pt: 2.0  	diff:  鲜艳A1.0 花哨B1.0
  	class: 可耻  	d: 20  	pt: 2.0  	diff:  难看A1.0 羞耻B0.6 可耻B0.4
  	class: 朴素  	d: 7  	pt: 2.0  	diff:  简朴A0.5 质朴A0.5 清纯B1.0
  	class: 酸  	d: 5  	pt: 2.0  	diff:  发酸A1.0 酸B1.0
  	class: 真实  	d: 11  	pt: 2.0  	diff:  真实性A0.25 实事求是A0.75 真格B1.0
  	class: 高超  	d: 12  	pt: 2.0  	diff:  巧妙A1.0 都行B1.0
  	class: 优越  	d: 12  	pt: 2.0  	diff:  优越A1.0 优渥B1.0
  	class: 特意  	d: 7  	pt: 2.0  	diff:  专程A1.0 特地B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  生硬A1.0 平板B1.0
  	class: 无故  	d: 6  	pt: 2.0  	diff:  无端A1.0 凭空B1.0
  	class: 飘  	d: 25  	pt: 2.0  	diff:  回荡A0.4 飘荡A0.2 飘扬A0.4 飞扬B0.8 飘B0.2
  	class: 鄙视  	d: 24  	pt: 2.0  	diff:  藐视A0.14285714285714285 瞧不起A0.14285714285714285 蔑视A0.14285714285714285 唾弃A0.14285714285714285 小觑A0.42857142857142855 鄙视B0.3333333333333333 看不起B0.6666666666666666
  	class: 紧张  	d: 15  	pt: 2.0  	diff:  白热化A1.0 逼人B1.0
  	class: 调解  	d: 13  	pt: 2.0  	diff:  调解A0.5 息事宁人A0.5 疏通B1.0
  	class: 马虎  	d: 12  	pt: 2.0  	diff:  含糊A1.0 潦草B0.5 草草B0.5
  	class: 应该  	d: 13  	pt: 2.0  	diff:  应有A1.0 活该B1.0
  	class: 不合  	d: 10  	pt: 2.0  	diff:  不合A1.0 不符B1.0
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  舞狮A1.0 摇B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  忠于A0.8888888888888888 动情A0.1111111111111111 看上B1.0
  	class: 降伏  	d: 5  	pt: 2.0  	diff:  驯服A1.0 驯B1.0
  	class: 纵容  	d: 4  	pt: 2.0  	diff:  纵容A0.7777777777777778 放纵A0.2222222222222222 惯B1.0
  	class: 漂  	d: 8  	pt: 2.0  	diff:  悬浮A1.0 漂流B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  钦佩A1.0 佩服B1.0
  	class: 扩大  	d: 8  	pt: 2.0  	diff:  扩张A0.6666666666666666 扩展A0.20833333333333334 壮大A0.125 恢弘B1.0
  	class: 偏心  	d: 12  	pt: 2.0  	diff:  不公A1.0 偏心B1.0
  	class: 调戏  	d: 3  	pt: 2.0  	diff:  玩弄A0.6 猥亵A0.4 调戏B1.0
  	class: 做声  	d: 5  	pt: 2.0  	diff:  发声A0.7142857142857143 嚷嚷A0.2857142857142857 发音B1.0
  	class: 簇拥  	d: 3  	pt: 2.0  	diff:  簇拥A1.0 拥B1.0
  	class: 舒服  	d: 10  	pt: 2.0  	diff:  过瘾A1.0 舒坦B1.0
  	class: 惊恐  	d: 16  	pt: 2.0  	diff:  惊惧A0.6666666666666666 惶恐A0.3333333333333333 惊恐B1.0
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  敛财A0.3333333333333333 压迫A0.6666666666666666 搂B0.25 刮B0.75
  	class: 闲置  	d: 9  	pt: 2.0  	diff:  搁置A0.6666666666666666 闲置A0.3333333333333333 搁B1.0
