learn:dsjwz.csv check:xkd.csv 	 Result: 	0.24516031849007974 	6239 	2318
  	class: 揭露  	d: 7  	pt: 1.9999999999999998  	diff:  揭开A1.0 揭露B0.6666666666666666 点破B0.3333333333333333
  	class: 砍  	d: 6  	pt: 1.9999999999999998  	diff:  剁A1.0 砍B0.6666666666666666 砍伐B0.3333333333333333
  	class: 炫耀  	d: 17  	pt: 1.9999999999999998  	diff:  炫A1.0 自诩B0.3333333333333333 夸耀B0.3333333333333333 标榜B0.3333333333333333
  	class: 分裂  	d: 7  	pt: 1.9999999999999998  	diff:  瓦解A1.0 分裂B0.6774193548387096 解体B0.3225806451612903
  	class: 相反  	d: 10  	pt: 1.9999999999999998  	diff:  相悖A1.0 有悖于B0.6666666666666666 有悖B0.3333333333333333
  	class: 阻塞  	d: 25  	pt: 1.9999999999999996  	diff:  阻塞A0.5 拥塞A0.5 不通B0.08333333333333333 围堵B0.3333333333333333 打断B0.25 闭塞B0.08333333333333333 封堵B0.08333333333333333 隔阂B0.08333333333333333 梗塞B0.08333333333333333
  	class: 删除  	d: 10  	pt: 1.9534883720930232  	diff:  剔除A0.16279069767441862 删除A0.7209302325581395 删去A0.023255813953488372 去除A0.046511627906976744 删减AB0.6434108527131782 删A0.023255813953488372 刨除B0.3333333333333333
  	class: 辨别  	d: 13  	pt: 1.943089430894309  	diff:  识别A0.8902439024390244 分辨A0.032520325203252036 鉴别AB0.4878048780487805 判别A0.02032520325203252 辨别A0.02032520325203252 辨识AB0.483739837398374 辨认A0.008130081300813009
  	class: 消灭  	d: 8  	pt: 1.9375  	diff:  消灭AB0.96875 除恶B0.96875
  	class: 制图  	d: 5  	pt: 1.9375  	diff:  绘制A0.84375 打样A0.03125 绘图A0.09375 制图AB0.96875
  	class: 整理  	d: 10  	pt: 1.9333333333333333  	diff:  整理AB0.9282051282051282 整A0.038461538461538464 整治B0.9666666666666667
  	class: 标注  	d: 4  	pt: 1.9230769230769231  	diff:  标注A0.8461538461538461 标出A0.11538461538461539 标AB0.9615384615384616
  	class: 分店  	d: 7  	pt: 1.923076923076923  	diff:  子公司AB0.6282051282051282 分店A0.3333333333333333 分行B0.9615384615384616
  	class: 聘请  	d: 7  	pt: 1.92  	diff:  聘用A0.6 聘请A0.36 聘任AB0.96
  	class: 征收  	d: 5  	pt: 1.9090909090909092  	diff:  课AB0.9545454545454546 征收B0.9545454545454546
  	class: 浏览  	d: 4  	pt: 1.9047619047619047  	diff:  浏览A0.9523809523809523 参观AB0.9523809523809523
  	class: 惩办  	d: 16  	pt: 1.9  	diff:  收拾AB0.95 惩处B0.1125 办B0.4 处置B0.2375 惩治B0.125 处以B0.05 查办B0.025
  	class: 档案  	d: 2  	pt: 1.8947368421052633  	diff:  档AB0.9473684210526316 档案A0.9473684210526315
  	class: 能够  	d: 5  	pt: 1.8823529411764706  	diff:  亦可AB0.9411764705882353 可知A0.9411764705882353
  	class: 特辑  	d: 6  	pt: 1.8823529411764706  	diff:  专栏A0.9411764705882353 专辑AB0.9411764705882353
  	class: 统治  	d: 12  	pt: 1.8723404255319147  	diff:  统治AB0.6861702127659575 在位A0.25 执政B0.9148936170212766 主政B0.02127659574468085
  	class: 示范  	d: 8  	pt: 1.8666666666666667  	diff:  示例A0.5777777777777777 演示A0.35555555555555557 示范AB0.6833333333333333 现身说法B0.25
  	class: 签到  	d: 4  	pt: 1.8666666666666667  	diff:  登录A0.9333333333333333 签到AB0.9333333333333333
  	class: 互相  	d: 11  	pt: 1.8588235294117648  	diff:  交互A0.6588235294117647 并行A0.27058823529411763 相AB0.9294117647058824
  	class: 差错  	d: 12  	pt: 1.8571428571428572  	diff:  偏差A0.9285714285714286 过错AB0.9285714285714286
  	class: 优越  	d: 12  	pt: 1.8461538461538463  	diff:  优于A0.9230769230769231 优越AB0.9230769230769231
  	class: 皇帝  	d: 26  	pt: 1.8333333333333335  	diff:  君A0.25 至尊A0.16666666666666666 可汗A0.08333333333333333 国王A0.25 皇帝AB0.47222222222222227 王者A0.16666666666666666 统治者B0.2222222222222222 君主B0.2222222222222222
  	class: 遗留  	d: 8  	pt: 1.8333333333333333  	diff:  剩AB0.9166666666666666 留置B0.875 残留B0.041666666666666664
  	class: 拆  	d: 8  	pt: 1.8260869565217392  	diff:  拆解AB0.9130434782608696 拆迁B0.6521739130434783 拆除B0.2608695652173913
  	class: 女人  	d: 11  	pt: 1.8181818181818183  	diff:  女子AB0.6212121212121212 女郎A0.08333333333333333 女士AB0.20454545454545453 妇女B0.8939393939393939 农妇B0.015151515151515152
