learn:dsjwz.csv check:ktx.csv 	 Result: 	0.2527324815052981 	6328 	2287
  	class: 活泼  	d: 11  	pt: 2.0  	diff:  外向A1.0 活泼B1.0
  	class: 飘  	d: 25  	pt: 2.0  	diff:  回荡A1.0 飘B1.0
  	class: 流泪  	d: 7  	pt: 2.0  	diff:  流泪A1.0 落泪B1.0
  	class: 喧哗  	d: 24  	pt: 2.0  	diff:  嘈杂A1.0 闹腾B0.16666666666666666 聒噪B0.3333333333333333 喧闹B0.3333333333333333 喧哗B0.16666666666666666
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  痛心A1.0 悲壮B1.0
  	class: 调解  	d: 13  	pt: 2.0  	diff:  调解A1.0 劝和B0.5 圆场B0.5
  	class: 散步  	d: 7  	pt: 2.0  	diff:  走走A1.0 溜达B0.25 散步B0.25 遛B0.5
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  忠于A1.0 倾心B1.0
  	class: 降伏  	d: 5  	pt: 2.0  	diff:  驯服A1.0 折服B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  钦佩A1.0 佩服B1.0
  	class: 吵闹  	d: 9  	pt: 2.0  	diff:  起哄A1.0 嚷B0.3333333333333333 哭闹B0.6666666666666666
  	class: 展  	d: 6  	pt: 2.0  	diff:  展A1.0 伸展B1.0
  	class: 拍手  	d: 9  	pt: 2.0  	diff:  击掌A1.0 鼓掌B1.0
  	class: 揭露  	d: 7  	pt: 2.0  	diff:  揭开A1.0 揭B0.16666666666666666 揭露B0.5 点破B0.3333333333333333
  	class: 刳  	d: 4  	pt: 2.0  	diff:  洞开A1.0 挖出B1.0
  	class: 闲置  	d: 9  	pt: 2.0  	diff:  搁置A1.0 搁B0.8 撂B0.2
  	class: 拆  	d: 8  	pt: 2.0  	diff:  拆解A1.0 拆开B0.6666666666666666 拆散B0.16666666666666666 拆迁B0.16666666666666666
  	class: 洗  	d: 15  	pt: 2.0  	diff:  清洗A1.0 保洁B0.25 洗洗B0.5 澡B0.25
  	class: 吸  	d: 6  	pt: 2.0  	diff:  吸气A1.0 抽烟B0.5555555555555556 吸B0.4444444444444444
  	class: 摆布  	d: 3  	pt: 2.0  	diff:  摆弄A1.0 拨弄B1.0
  	class: 拔腿  	d: 5  	pt: 2.0  	diff:  迈开A1.0 迈步B1.0
  	class: 上升  	d: 10  	pt: 2.0  	diff:  升高A0.5 升起A0.5 升B1.0
  	class: 清理  	d: 4  	pt: 2.0  	diff:  清理A1.0 理清B1.0
  	class: 家居  	d: 3  	pt: 2.0  	diff:  家居A1.0 蹲B1.0
  	class: 观望  	d: 10  	pt: 2.0  	diff:  观望A1.0 旁观B1.0
  	class: 鸟瞰  	d: 3  	pt: 2.0  	diff:  鸟瞰A1.0 俯视B1.0
  	class: 紧靠  	d: 7  	pt: 2.0  	diff:  附A1.0 促B1.0
  	class: 解放  	d: 2  	pt: 2.0  	diff:  解放A1.0 翻身B1.0
  	class: 得志  	d: 9  	pt: 2.0  	diff:  得志A1.0 得意B1.0
  	class: 实现  	d: 6  	pt: 2.0  	diff:  落实A0.8333333333333334 兑现A0.16666666666666666 贯彻B1.0
  	class: 多变  	d: 11  	pt: 2.0  	diff:  演进A0.8 变异A0.2 多变B1.0
  	class: 激动  	d: 11  	pt: 2.0  	diff:  激动人心A1.0 百感交集B1.0
  	class: 敬仰  	d: 10  	pt: 2.0  	diff:  心仪A1.0 仰慕B1.0
  	class: 不值  	d: 5  	pt: 2.0  	diff:  不犯A1.0 不屑B0.75 不值B0.25
  	class: 让座  	d: 2  	pt: 2.0  	diff:  让位A1.0 让座B1.0
  	class: 发动  	d: 8  	pt: 2.0  	diff:  总动员A1.0 动员B1.0
  	class: 起跑  	d: 10  	pt: 2.0  	diff:  开盘A0.2 开课A0.8 开拍B1.0
  	class: 并吞  	d: 7  	pt: 2.0  	diff:  兼并A1.0 吞噬B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤出A1.0 离去B1.0
  	class: 审定  	d: 6  	pt: 2.0  	diff:  核实A1.0 把关B1.0
  	class: 选拔  	d: 2  	pt: 2.0  	diff:  遴选A1.0 选拔B1.0
  	class: 接替  	d: 6  	pt: 2.0  	diff:  接替A1.0 接手B1.0
  	class: 交卸  	d: 4  	pt: 2.0  	diff:  移交A1.0 交割B1.0
  	class: 再生  	d: 8  	pt: 2.0  	diff:  复兴A1.0 再生B0.5 再造B0.5
  	class: 挤出  	d: 3  	pt: 2.0  	diff:  腾出A1.0 挤出B1.0
  	class: 类推  	d: 6  	pt: 2.0  	diff:  类比A1.0 类推B1.0
  	class: 合著  	d: 3  	pt: 2.0  	diff:  合著A1.0 合写B1.0
  	class: 招待  	d: 3  	pt: 2.0  	diff:  接待A1.0 招待B1.0
  	class: 搭桥  	d: 2  	pt: 2.0  	diff:  牵线搭桥A1.0 搭桥B1.0
  	class: 慰劳  	d: 8  	pt: 2.0  	diff:  慰问A1.0 犒劳B0.5 抚慰B0.5
  	class: 引退  	d: 8  	pt: 2.0  	diff:  引退A1.0 隐退B1.0
  	class: 凑合  	d: 5  	pt: 2.0  	diff:  拼接A1.0 并拢B1.0
  	class: 筹集  	d: 2  	pt: 2.0  	diff:  筹集A1.0 凑份子B1.0
  	class: 做饭  	d: 4  	pt: 2.0  	diff:  做饭A1.0 下厨B1.0
  	class: 质变  	d: 3  	pt: 2.0  	diff:  质变A1.0 蜕变B1.0
  	class: 繁殖  	d: 8  	pt: 2.0  	diff:  繁衍A1.0 繁殖B1.0
  	class: 沉睡  	d: 7  	pt: 2.0  	diff:  熟睡A1.0 酣睡B1.0
  	class: 膨胀  	d: 9  	pt: 2.0  	diff:  暴涨A1.0 膨胀B1.0
  	class: 收缩  	d: 4  	pt: 2.0  	diff:  收缩A1.0 缩B1.0
  	class: 胜败  	d: 5  	pt: 2.0  	diff:  成败A1.0 输赢B0.5 高下B0.25 胜负B0.25
  	class: 罢休  	d: 7  	pt: 2.0  	diff:  用尽A1.0 罢休B1.0
  	class: 减半  	d: 3  	pt: 2.0  	diff:  减半A1.0 扣除B1.0
  	class: 算  	d: 5  	pt: 2.0  	diff:  算作A1.0 当成B0.875 奉为B0.0625 不失为B0.0625
  	class: 迥  	d: 17  	pt: 2.0  	diff:  上下床A1.0 迥异B1.0
  	class: 共存  	d: 13  	pt: 2.0  	diff:  共存A1.0 幸存B1.0
  	class: 免得  	d: 5  	pt: 2.0  	diff:  免受A1.0 免于B1.0
  	class: 平坦  	d: 9  	pt: 1.9999999999999998  	diff:  平滑A1.0 坦荡B0.6666666666666666 平坦B0.3333333333333333
  	class: 流水  	d: 5  	pt: 1.9999999999999998  	diff:  水流A1.0 清流B0.6666666666666666 流水B0.3333333333333333
  	class: 皱纹  	d: 6  	pt: 1.9999999999999998  	diff:  褶皱A1.0 褶子B0.6666666666666666 皱纹B0.3333333333333333
  	class: 咽  	d: 11  	pt: 1.9999999999999998  	diff:  服药A1.0 吞咽B0.3333333333333333 咽下B0.3333333333333333 吞B0.3333333333333333
  	class: 夹  	d: 4  	pt: 1.9999999999999998  	diff:  挟A1.0 裹挟B0.6666666666666666 夹子B0.3333333333333333
  	class: 琐碎  	d: 11  	pt: 1.9999999999999998  	diff:  零碎A1.0 琐碎B0.3333333333333333 细碎B0.3333333333333333 零星B0.3333333333333333
  	class: 动荡  	d: 26  	pt: 1.9999999999999998  	diff:  动荡A1.0 骚动B0.6666666666666666 荒乱B0.3333333333333333
  	class: 竭力  	d: 31  	pt: 1.9999999999999998  	diff:  力图A1.0 鼎力B0.05263157894736842 卖力B0.2631578947368421 拼命B0.47368421052631576 用力B0.15789473684210525 使劲B0.05263157894736842
  	class: 辞职  	d: 6  	pt: 1.9999999999999998  	diff:  辞去A1.0 辞职B0.6666666666666666 辞B0.3333333333333333
  	class: 鄙视  	d: 24  	pt: 1.9999999999999998  	diff:  小看A1.0 鄙视B0.26666666666666666 鄙夷B0.13333333333333333 不齿B0.2 轻蔑B0.06666666666666667 看不起B0.06666666666666667 唾弃B0.13333333333333333 瞧不起B0.13333333333333333
  	class: 爆裂  	d: 7  	pt: 1.9999999999999998  	diff:  爆裂A1.0 爆B0.6363636363636364 崩B0.22727272727272727 炸B0.09090909090909091 炸掉B0.045454545454545456
  	class: 表扬  	d: 4  	pt: 1.9999999999999998  	diff:  表扬A1.0 表彰B0.6666666666666666 旌B0.3333333333333333
