learn:mm.csv check:xsx.csv 	 Result: 	0.23533789215156914 	4704 	2070
  	class: 圆滑  	d: 15  	pt: 2.0  	diff:  油滑A1.0 世故B1.0
  	class: 稀少  	d: 27  	pt: 2.0  	diff:  稀缺A0.14814814814814814 层层A0.037037037037037035 罕见A0.8148148148148148 少有B1.0
  	class: 选举  	d: 5  	pt: 2.0  	diff:  举A1.0 选出B1.0
  	class: 齐全  	d: 9  	pt: 2.0  	diff:  全称A1.0 完备B1.0
  	class: 韧  	d: 6  	pt: 2.0  	diff:  坚韧A1.0 韧劲B1.0
  	class: 稳固  	d: 20  	pt: 2.0  	diff:  稳固A1.0 深厚B1.0
  	class: 激昂  	d: 19  	pt: 2.0  	diff:  有神A1.0 昂扬B1.0
  	class: 消沉  	d: 4  	pt: 2.0  	diff:  低沉A1.0 消沉B1.0
  	class: 头昏  	d: 21  	pt: 2.0  	diff:  迷糊A0.2857142857142857 晕A0.7142857142857143 昏B1.0
  	class: 出汗  	d: 10  	pt: 2.0  	diff:  冒汗A0.5 流汗A0.5 出汗B1.0
  	class: 鲜艳  	d: 12  	pt: 2.0  	diff:  鲜艳A0.5 妩媚A0.5 花哨B1.0
  	class: 稳重  	d: 11  	pt: 2.0  	diff:  稳重A0.6666666666666666 沉稳A0.3333333333333333 稳健B1.0
  	class: 醇厚  	d: 6  	pt: 2.0  	diff:  醇厚A1.0 浓烈B0.5 浓郁B0.5
  	class: 变样  	d: 2  	pt: 2.0  	diff:  走样A1.0 变样B1.0
  	class: 头等  	d: 11  	pt: 2.0  	diff:  顶级A0.6666666666666666 世界级A0.16666666666666666 一流A0.16666666666666666 头号B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  呆滞A1.0 平板B1.0
  	class: 散发  	d: 3  	pt: 2.0  	diff:  分发A1.0 泛B0.3333333333333333 散发B0.6666666666666666
  	class: 潇洒  	d: 11  	pt: 2.0  	diff:  飘逸A1.0 潇洒B1.0
  	class: 鄙视  	d: 24  	pt: 2.0  	diff:  鄙夷A0.2 看轻A0.2 瞧不起A0.6 鄙视B0.3333333333333333 看不起B0.6666666666666666
  	class: 成名  	d: 23  	pt: 2.0  	diff:  成名A1.0 出名B0.5 走红B0.5
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  摇头A1.0 摇B1.0
  	class: 不甘  	d: 6  	pt: 2.0  	diff:  不愿A1.0 不甘B1.0
  	class: 解脱  	d: 8  	pt: 2.0  	diff:  开脱A1.0 脱身B0.3333333333333333 摆脱B0.6666666666666666
  	class: 纵容  	d: 4  	pt: 2.0  	diff:  放纵A0.5 纵容A0.5 惯B1.0
  	class: 放荡  	d: 10  	pt: 2.0  	diff:  不修边幅A1.0 浪荡B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  佩A1.0 佩服B1.0
  	class: 做声  	d: 5  	pt: 2.0  	diff:  发声A0.6 嚷嚷A0.4 发音B1.0
  	class: 惊恐  	d: 16  	pt: 2.0  	diff:  惶恐A1.0 惊恐B1.0
  	class: 搀  	d: 5  	pt: 2.0  	diff:  携手A1.0 搀扶B1.0
  	class: 承揽  	d: 10  	pt: 2.0  	diff:  包揽A1.0 承包B1.0
  	class: 推卸  	d: 8  	pt: 2.0  	diff:  推卸A1.0 卸B0.3333333333333333 推脱B0.6666666666666666
  	class: 倒闭  	d: 6  	pt: 2.0  	diff:  倒闭A1.0 关闭B1.0
  	class: 跳  	d: 12  	pt: 2.0  	diff:  跳跃A1.0 蹦B1.0
  	class: 跨  	d: 7  	pt: 2.0  	diff:  跨过A1.0 横跨B0.6666666666666666 迈B0.16666666666666666 迈出B0.16666666666666666
  	class: 鸟瞰  	d: 3  	pt: 2.0  	diff:  俯视A1.0 俯瞰B1.0
  	class: 听  	d: 3  	pt: 2.0  	diff:  听取A1.0 收听B0.8333333333333334 听听B0.16666666666666666
  	class: 呻吟  	d: 3  	pt: 2.0  	diff:  呻吟A0.5 打呼A0.5 哼哼B1.0
  	class: 大叫  	d: 11  	pt: 2.0  	diff:  惊呼A1.0 大喊B1.0
  	class: 变脸  	d: 4  	pt: 2.0  	diff:  翻脸A1.0 变色B1.0
  	class: 打听  	d: 12  	pt: 2.0  	diff:  叩问A0.5 探听A0.5 打听B0.5 询问B0.5
  	class: 看破  	d: 4  	pt: 2.0  	diff:  看穿A1.0 看透B1.0
  	class: 怀恨  	d: 4  	pt: 2.0  	diff:  记仇A1.0 记恨B1.0
  	class: 不服  	d: 2  	pt: 2.0  	diff:  不服A1.0 要强B1.0
