learn:ktx.csv check:xsx.csv 	 Result: 	0.22422808285257675 	6503 	2555
  	class: 恶毒  	d: 27  	pt: 2.0  	diff:  恶毒A1.0 黑心B1.0
  	class: 春情  	d: 6  	pt: 2.0  	diff:  风情A1.0 春心B1.0
  	class: 意志  	d: 5  	pt: 2.0  	diff:  定性A1.0 毅力B0.8 意志B0.2
  	class: 毒害  	d: 5  	pt: 2.0  	diff:  蛊惑A1.0 荼毒B1.0
  	class: 会议  	d: 3  	pt: 2.0  	diff:  集会A1.0 会议B1.0
  	class: 合同  	d: 2  	pt: 2.0  	diff:  合约A1.0 合同B1.0
  	class: 考题  	d: 4  	pt: 2.0  	diff:  考题A1.0 课题B1.0
  	class: 牛皮  	d: 5  	pt: 2.0  	diff:  高调A0.3333333333333333 牛皮A0.6666666666666666 漂亮话B1.0
  	class: 好话  	d: 3  	pt: 2.0  	diff:  感言A1.0 好话B1.0
  	class: 论调  	d: 2  	pt: 2.0  	diff:  调调A1.0 论调B1.0
  	class: 注释  	d: 5  	pt: 2.0  	diff:  诠释A1.0 注释B1.0
  	class: 散文  	d: 2  	pt: 2.0  	diff:  散文A1.0 散记B1.0
  	class: 针对  	d: 7  	pt: 2.0  	diff:  指向A0.6 对准A0.4 针对性B1.0
  	class: 文化宫  	d: 7  	pt: 2.0  	diff:  俱乐部A1.0 游乐场B1.0
  	class: 积压  	d: 5  	pt: 2.0  	diff:  积压A1.0 郁结B1.0
  	class: 相同  	d: 29  	pt: 2.0  	diff:  一码事A0.15384615384615385 平等A0.7692307692307693 一色A0.07692307692307693 平B1.0
  	class: 承继  	d: 4  	pt: 2.0  	diff:  袭A1.0 传承B1.0
  	class: 一眨眼  	d: 39  	pt: 2.0  	diff:  转眼A1.0 转手B0.3333333333333333 一晃B0.6666666666666666
  	class: 细  	d: 11  	pt: 2.0  	diff:  纤细A1.0 细细B1.0
  	class: 耸立  	d: 13  	pt: 2.0  	diff:  屹立A1.0 直立B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  翻天A1.0 变天B1.0
  	class: 宽大  	d: 12  	pt: 2.0  	diff:  不严A0.3333333333333333 宽松A0.6666666666666666 宽大B1.0
  	class: 宽敞  	d: 10  	pt: 2.0  	diff:  宽敞A1.0 宽心B1.0
  	class: 狭隘  	d: 6  	pt: 2.0  	diff:  狭隘A1.0 狭窄B1.0
  	class: 凹  	d: 9  	pt: 2.0  	diff:  洼A1.0 凹B1.0
  	class: 升降  	d: 9  	pt: 2.0  	diff:  升降A1.0 起伏B1.0
  	class: 繁多  	d: 17  	pt: 2.0  	diff:  繁多A1.0 繁B1.0
  	class: 溢  	d: 8  	pt: 2.0  	diff:  泛滥A1.0 溢出B1.0
  	class: 分散  	d: 9  	pt: 2.0  	diff:  散落A0.2 疏散A0.2 发散A0.4 散开A0.2 分散B1.0
  	class: 健康  	d: 27  	pt: 2.0  	diff:  强壮A0.8 健硕A0.2 健壮B1.0
  	class: 韧  	d: 6  	pt: 2.0  	diff:  坚韧A1.0 韧劲B1.0
  	class: 稳固  	d: 20  	pt: 2.0  	diff:  不衰A0.5 稳固A0.5 深厚B1.0
  	class: 激昂  	d: 19  	pt: 2.0  	diff:  昂昂A1.0 昂扬B1.0
  	class: 消沉  	d: 4  	pt: 2.0  	diff:  低沉A1.0 消沉B1.0
  	class: 绚丽  	d: 19  	pt: 2.0  	diff:  灿A1.0 灿烂B0.3333333333333333 绚丽B0.6666666666666666
  	class: 头昏  	d: 21  	pt: 2.0  	diff:  晕A1.0 昏B1.0
  	class: 缓  	d: 7  	pt: 2.0  	diff:  复苏A1.0 休息B1.0
  	class: 鲜艳  	d: 12  	pt: 2.0  	diff:  明艳A0.5 美艳A0.5 花哨B1.0
  	class: 醇厚  	d: 6  	pt: 2.0  	diff:  醇厚A1.0 浓烈B0.5 浓郁B0.5
  	class: 真实  	d: 11  	pt: 2.0  	diff:  实事求是A0.5 真实性A0.5 真格B1.0
  	class: 假想  	d: 5  	pt: 2.0  	diff:  幻A1.0 假想B1.0
  	class: 变样  	d: 2  	pt: 2.0  	diff:  走样A1.0 变样B1.0
  	class: 至少  	d: 4  	pt: 2.0  	diff:  足足A1.0 起码B1.0
