learn:jqzx.csv check:xkd.csv 	 Result: 	0.2487583258994408 	6133 	2237
  	class: 鲜艳  	d: 12  	pt: 2.0  	diff:  花哨A1.0 鲜艳B1.0
  	class: 衰落  	d: 23  	pt: 2.0  	diff:  中落A1.0 衰落B0.5 衰退B0.2 没落B0.1 萎缩B0.1 衰B0.1
  	class: 酸  	d: 5  	pt: 2.0  	diff:  酸度A1.0 发酸B1.0
  	class: 徒劳  	d: 23  	pt: 2.0  	diff:  徒劳A1.0 缘木求鱼B1.0
  	class: 便宜  	d: 10  	pt: 2.0  	diff:  低廉A1.0 低价B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  平板A1.0 生硬B1.0
  	class: 散发  	d: 3  	pt: 2.0  	diff:  分发A0.5833333333333334 泛A0.4166666666666667 散发B1.0
  	class: 站稳  	d: 5  	pt: 2.0  	diff:  站住A1.0 站队B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  悲壮A1.0 痛心B0.5 沉痛B0.25 悲愤B0.25
  	class: 同心  	d: 13  	pt: 2.0  	diff:  同心A1.0 众志成城B1.0
  	class: 马虎  	d: 12  	pt: 2.0  	diff:  草率A1.0 含糊B1.0
  	class: 摇动  	d: 8  	pt: 2.0  	diff:  偏移A1.0 舞狮B1.0
  	class: 并重  	d: 8  	pt: 2.0  	diff:  并列A0.6666666666666666 并重A0.3333333333333333 并称B1.0
  	class: 调戏  	d: 3  	pt: 2.0  	diff:  调戏A1.0 玩弄B0.6 猥亵B0.4
  	class: 喊  	d: 13  	pt: 2.0  	diff:  叫唤A1.0 喊话B0.5 喊B0.5
  	class: 砸  	d: 3  	pt: 2.0  	diff:  敲响A1.0 敲开B1.0
  	class: 搜刮  	d: 11  	pt: 2.0  	diff:  刮A1.0 敛财B0.3333333333333333 压迫B0.6666666666666666
  	class: 擦  	d: 13  	pt: 2.0  	diff:  抹掉A1.0 拂拭B1.0
  	class: 承  	d: 5  	pt: 2.0  	diff:  承载A1.0 承接B1.0
  	class: 松手  	d: 4  	pt: 2.0  	diff:  放手A1.0 松手B0.5 失手B0.5
  	class: 解  	d: 3  	pt: 2.0  	diff:  解开A1.0 褪B0.5 肢解B0.5
  	class: 修理  	d: 7  	pt: 2.0  	diff:  弥合A1.0 整修B1.0
  	class: 倒卖  	d: 4  	pt: 2.0  	diff:  倒腾A1.0 倒卖B1.0
  	class: 迁移  	d: 8  	pt: 2.0  	diff:  迁移A0.9958333333333333 迁A0.004166666666666667 搬B0.25 搬迁B0.625 迁徙B0.125
  	class: 观望  	d: 10  	pt: 2.0  	diff:  观望A1.0 坐视B0.5 旁观B0.5
  	class: 大叫  	d: 11  	pt: 2.0  	diff:  大喊A1.0 大叫B0.25 高呼B0.75
  	class: 锻炼  	d: 12  	pt: 2.0  	diff:  磨炼A0.3333333333333333 锻炼A0.6666666666666666 闯B0.75 磨砺B0.25
  	class: 变脸  	d: 4  	pt: 2.0  	diff:  变色A1.0 变脸B1.0
  	class: 沉迷  	d: 16  	pt: 2.0  	diff:  着迷A0.8333333333333334 痴迷A0.16666666666666666 沉迷B1.0
  	class: 敬仰  	d: 10  	pt: 2.0  	diff:  心仪A1.0 景仰B1.0
