learn:gkw.csv check:xsx.csv 	 Result: 	0.23860275317622354 	7431 	2775
  	class: 辞职  	d: 6  	pt: 2.0  	diff:  辞去A1.0 辞职B0.8260869565217391 辞B0.17391304347826086
  	class: 牛皮  	d: 5  	pt: 2.0  	diff:  牛皮A0.25 高调A0.5 大话A0.25 漂亮话B1.0
  	class: 谢绝  	d: 8  	pt: 2.0  	diff:  谢绝A1.0 婉拒B1.0
  	class: 萧条  	d: 5  	pt: 2.0  	diff:  低迷A1.0 清淡B1.0
  	class: 写实  	d: 2  	pt: 2.0  	diff:  写实A1.0 写真B1.0
  	class: 肿瘤  	d: 4  	pt: 2.0  	diff:  肿瘤A0.7872340425531915 瘤A0.2127659574468085 肉瘤B1.0
  	class: 监狱  	d: 18  	pt: 2.0  	diff:  囚笼A1.0 监狱B0.8 看守所B0.2
  	class: 总数  	d: 3  	pt: 2.0  	diff:  总数A1.0 总额B1.0
  	class: 耸立  	d: 13  	pt: 2.0  	diff:  坚挺A1.0 直立B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  颠覆A1.0 变天B1.0
  	class: 宽敞  	d: 10  	pt: 2.0  	diff:  宽阔A1.0 宽心B1.0
  	class: 揪  	d: 2  	pt: 2.0  	diff:  揪A1.0 掀开B1.0
  	class: 陷  	d: 8  	pt: 2.0  	diff:  沉淀A0.3333333333333333 沉没A0.5555555555555556 下陷A0.1111111111111111 陷B1.0
  	class: 圆滑  	d: 15  	pt: 2.0  	diff:  灵活性A0.8 圆滑A0.2 世故B1.0
  	class: 繁多  	d: 17  	pt: 2.0  	diff:  繁多A1.0 繁B1.0
  	class: 裸露  	d: 10  	pt: 2.0  	diff:  裸露A1.0 袒露B1.0
  	class: 韧  	d: 6  	pt: 2.0  	diff:  柔韧A0.125 坚韧A0.875 韧劲B1.0
  	class: 响  	d: 17  	pt: 2.0  	diff:  响亮A1.0 高亢B1.0
  	class: 激昂  	d: 19  	pt: 2.0  	diff:  有神A1.0 昂扬B1.0
  	class: 晴  	d: 16  	pt: 2.0  	diff:  清明A0.6 晴A0.4 爽朗B1.0
  	class: 便利  	d: 12  	pt: 2.0  	diff:  省事A0.5 轻便A0.5 省心B1.0
