learn:dsjwz.csv check:xsx.csv 	 Result: 	0.2695435385074994 	5434 	2109
  	class: 背井离乡  	d: 7  	pt: 1.8888888888888888  	diff:  远离AB0.9444444444444444 离家B0.9444444444444444
  	class: 概率  	d: 4  	pt: 1.8837209302325582  	diff:  几率AB0.9418604651162791 概率A0.9418604651162791
  	class: 文件  	d: 6  	pt: 1.8770949720670391  	diff:  文件A0.5251396648044693 文本A0.4134078212290503 文书AB0.9385474860335196
  	class: 加剧  	d: 10  	pt: 1.875  	diff:  强化A0.890625 加剧A0.015625 加深AB0.9375 火上浇油A0.015625 激化A0.015625
  	class: 选举  	d: 5  	pt: 1.8695652173913044  	diff:  举A0.5869565217391305 选出AB0.9347826086956522 选举A0.34782608695652173
  	class: 安装  	d: 5  	pt: 1.8695652173913042  	diff:  安装A0.9130434782608695 安上A0.021739130434782608 装置AB0.9347826086956522
  	class: 示范  	d: 8  	pt: 1.8666666666666667  	diff:  示例A0.5777777777777777 演示A0.35555555555555557 示范AB0.9333333333333333
  	class: 拿  	d: 12  	pt: 1.8666666666666667  	diff:  持A0.6666666666666666 持枪A0.13333333333333333 拿出AB0.7515151515151516 手持A0.13333333333333333 攥B0.18181818181818182
  	class: 羡慕  	d: 15  	pt: 1.8666666666666667  	diff:  艳羡AB0.9333333333333333 羡慕B0.9333333333333333
  	class: 灵巧  	d: 12  	pt: 1.8666666666666665  	diff:  灵活A0.9333333333333333 灵巧AB0.26666666666666666 圆通B0.3333333333333333 灵便B0.3333333333333333
  	class: 稀少  	d: 27  	pt: 1.8571428571428572  	diff:  鲜有A0.07142857142857142 层层A0.14285714285714285 稀缺A0.2857142857142857 稀有A0.07142857142857142 少有AB0.9285714285714286 罕见A0.35714285714285715
  	class: 空闲  	d: 15  	pt: 1.857142857142857  	diff:  闲AB0.4285714285714286 空余A0.5 没事B0.8571428571428571 空闲B0.07142857142857142
