learn:jqzx.csv check:mm.csv 	 Result: 	0.29404860406994177 	4538 	1732
  	class: 关头  	d: 8  	pt: 2.0  	diff:  转折点A0.6666666666666666 契机A0.3333333333333333 转机B1.0
  	class: 公开  	d: 16  	pt: 2.0  	diff:  自明A1.0 当众B1.0
  	class: 座位  	d: 6  	pt: 2.0  	diff:  座位A1.0 位子B1.0
  	class: 邻近  	d: 10  	pt: 2.0  	diff:  邻A0.36363636363636365 相邻A0.5757575757575758 紧邻A0.06060606060606061 邻座B1.0
  	class: 乡村  	d: 12  	pt: 2.0  	diff:  农村A1.0 乡村B1.0
  	class: 途径  	d: 10  	pt: 2.0  	diff:  路径A0.8722466960352423 路线A0.07488986784140969 途径A0.05286343612334802 路子B1.0
  	class: 家产  	d: 10  	pt: 2.0  	diff:  产业A1.0 家当B1.0
  	class: 深奥  	d: 12  	pt: 2.0  	diff:  艰深A1.0 深邃B1.0
  	class: 隐瞒  	d: 5  	pt: 2.0  	diff:  隐秘A1.0 瞒B1.0
  	class: 比作  	d: 6  	pt: 2.0  	diff:  比喻A0.8181818181818182 拟人A0.18181818181818182 好比B1.0
  	class: 灾害  	d: 4  	pt: 2.0  	diff:  灾害A1.0 灾B1.0
  	class: 偏袒  	d: 6  	pt: 2.0  	diff:  偏向A1.0 偏袒B1.0
  	class: 性生活  	d: 3  	pt: 2.0  	diff:  性行为A1.0 性生活B1.0
  	class: 风度  	d: 16  	pt: 2.0  	diff:  风范A0.5 风采A0.5 气质B1.0
  	class: 反射  	d: 6  	pt: 2.0  	diff:  反射A0.875 反光A0.125 映B1.0
  	class: 幻想  	d: 7  	pt: 2.0  	diff:  理想化A1.0 做梦B1.0
  	class: 一方面  	d: 8  	pt: 2.0  	diff:  单向A1.0 单方面B1.0
  	class: 热能  	d: 4  	pt: 2.0  	diff:  热能A1.0 热量B1.0
  	class: 改名  	d: 6  	pt: 2.0  	diff:  更名A1.0 化名B0.5 改名B0.5
  	class: 真诚  	d: 37  	pt: 2.0  	diff:  实心A0.5 诚心A0.5 诚恳B0.4 真诚B0.6
  	class: 意旨  	d: 4  	pt: 2.0  	diff:  旨在A0.987012987012987 意旨A0.012987012987012988 心意B1.0
  	class: 作战  	d: 8  	pt: 2.0  	diff:  作战A0.2 战A0.6 征战A0.2 上阵B0.3333333333333333 打仗B0.6666666666666666
  	class: 劝告  	d: 19  	pt: 2.0  	diff:  劝导A0.5 规A0.5 劝B0.8571428571428571 劝说B0.07142857142857142 告诫B0.07142857142857142
  	class: 债务  	d: 2  	pt: 2.0  	diff:  债务A1.0 债B1.0
  	class: 清洁  	d: 16  	pt: 2.0  	diff:  清洁A1.0 清新B0.5714285714285714 整洁B0.2857142857142857 净化B0.14285714285714285
  	class: 引起  	d: 9  	pt: 2.0  	diff:  引A1.0 逗B0.5714285714285714 唤起B0.14285714285714285 惹B0.2857142857142857
  	class: 婉转  	d: 13  	pt: 2.0  	diff:  圆润A1.0 委婉B1.0
  	class: 噜苏  	d: 6  	pt: 2.0  	diff:  赘述A1.0 废话B1.0
  	class: 结论  	d: 5  	pt: 2.0  	diff:  结论A0.984375 敲定A0.015625 定论B1.0
  	class: 特辑  	d: 6  	pt: 2.0  	diff:  专栏A0.9090909090909091 专刊A0.09090909090909091 专辑B1.0
  	class: 注释  	d: 5  	pt: 2.0  	diff:  注释A0.9649122807017544 注解A0.03508771929824561 诠释B1.0
  	class: 文学  	d: 2  	pt: 2.0  	diff:  文学A1.0 文艺B1.0
  	class: 动画片  	d: 4  	pt: 2.0  	diff:  动画A1.0 动画片B1.0
  	class: 电影院  	d: 5  	pt: 2.0  	diff:  影院A1.0 电影院B1.0
  	class: 体育场  	d: 3  	pt: 2.0  	diff:  运动场A1.0 操场B1.0
  	class: 宽度  	d: 19  	pt: 2.0  	diff:  步幅A0.1523809523809524 步长A0.5714285714285714 宽度A0.12380952380952381 涨幅A0.009523809523809525 幅度A0.0761904761904762 单幅A0.009523809523809525 增长率A0.02857142857142857 小幅A0.01904761904761905 增幅A0.009523809523809525 开间B1.0
  	class: 大  	d: 12  	pt: 2.0  	diff:  庞大A0.8333333333333334 宏A0.16666666666666666 硕大B1.0
  	class: 倍数  	d: 4  	pt: 2.0  	diff:  倍数A1.0 倍儿B1.0
  	class: 谄媚  	d: 32  	pt: 2.0  	diff:  吹捧A1.0 买好B0.16666666666666666 讨好B0.4583333333333333 拍马屁B0.2916666666666667 取悦B0.08333333333333333
  	class: 重叠  	d: 7  	pt: 2.0  	diff:  重叠A0.4489795918367347 交汇A0.04081632653061224 层A0.5102040816326531 臃肿B1.0
  	class: 一眨眼  	d: 39  	pt: 2.0  	diff:  一晃A1.0 转眼B1.0
  	class: 突然  	d: 37  	pt: 2.0  	diff:  陡A1.0 突兀B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  颠覆A1.0 变天B1.0
  	class: 简陋  	d: 5  	pt: 2.0  	diff:  低质A1.0 简陋B1.0
  	class: 深刻  	d: 10  	pt: 2.0  	diff:  尖锐A1.0 力透纸背B1.0
  	class: 翘  	d: 6  	pt: 2.0  	diff:  企A1.0 抬B1.0
  	class: 倒塌  	d: 9  	pt: 2.0  	diff:  崩塌A1.0 塌B1.0
  	class: 圆滑  	d: 15  	pt: 2.0  	diff:  灵活性A1.0 油滑B1.0
  	class: 久违  	d: 2  	pt: 2.0  	diff:  少见A1.0 久违B1.0
  	class: 空洞  	d: 26  	pt: 2.0  	diff:  抽象A0.75 虚幻A0.025 空洞A0.20833333333333334 概念化A0.016666666666666666 空虚B1.0
  	class: 不断  	d: 34  	pt: 2.0  	diff:  穿梭A0.6666666666666666 源源A0.3333333333333333 不住B0.8 不休B0.2
  	class: 软  	d: 11  	pt: 2.0  	diff:  柔软A0.5 软性A0.5 心软B1.0
  	class: 刺眼  	d: 2  	pt: 2.0  	diff:  碍眼A1.0 刺眼B1.0
  	class: 结冰  	d: 9  	pt: 2.0  	diff:  冻结A1.0 冻B1.0
  	class: 悲惨  	d: 13  	pt: 2.0  	diff:  悲惨A0.14285714285714285 灾难性A0.8571428571428571 惨B0.8461538461538461 无助B0.15384615384615385
  	class: 取暖  	d: 4  	pt: 2.0  	diff:  悟A1.0 暖B0.8333333333333334 暖和B0.16666666666666666
  	class: 鲜艳  	d: 12  	pt: 2.0  	diff:  花哨A1.0 鲜艳B0.5 妩媚B0.5
  	class: 溺爱  	d: 9  	pt: 2.0  	diff:  偏爱A1.0 宠爱B0.4 娇B0.2 宠B0.4
  	class: 衰落  	d: 23  	pt: 2.0  	diff:  中落A1.0 没落B0.25 衰B0.25 衰退B0.25 衰老B0.25
  	class: 醇厚  	d: 6  	pt: 2.0  	diff:  浓郁A1.0 醇厚B1.0
  	class: 酸  	d: 5  	pt: 2.0  	diff:  酸度A1.0 酸B1.0
  	class: 便宜  	d: 10  	pt: 2.0  	diff:  低廉A1.0 贱B1.0
  	class: 凸起  	d: 8  	pt: 2.0  	diff:  崛起A1.0 暴B1.0
  	class: 平板  	d: 7  	pt: 2.0  	diff:  平板A1.0 呆滞B1.0
  	class: 鄙视  	d: 24  	pt: 2.0  	diff:  小看A1.0 鄙夷B0.2 看轻B0.2 瞧不起B0.6
  	class: 翻腾  	d: 6  	pt: 2.0  	diff:  翻腾A1.0 沸腾B1.0
  	class: 成名  	d: 23  	pt: 2.0  	diff:  出名A0.75 走红A0.25 成名B1.0
  	class: 垂  	d: 7  	pt: 2.0  	diff:  耷拉A0.6 低下A0.4 放下B0.8 下垂B0.2
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  悲壮A1.0 悲愤B1.0
