learn:gkw.csv check:jqzx.csv 	 Result: 	0.21188166236051553 	6984 	2547
  	class: 真话  	d: 7  	pt: 2.0  	diff:  真话A0.5 心声A0.5 实话B1.0
  	class: 疏浚  	d: 9  	pt: 2.0  	diff:  疏导A0.5 疏A0.5 疏浚B1.0
  	class: 写信  	d: 8  	pt: 2.0  	diff:  来信A1.0 上书B1.0
  	class: 序言  	d: 5  	pt: 2.0  	diff:  花序A0.9090909090909091 序言A0.09090909090909091 前言B1.0
  	class: 监狱  	d: 18  	pt: 2.0  	diff:  囚笼A1.0 监狱B1.0
  	class: 总店  	d: 5  	pt: 2.0  	diff:  总局A1.0 母公司B1.0
  	class: 剧院  	d: 6  	pt: 2.0  	diff:  小剧场A1.0 歌剧院B1.0
  	class: 奇数  	d: 2  	pt: 2.0  	diff:  单数A1.0 奇数B1.0
  	class: 拾  	d: 6  	pt: 2.0  	diff:  捡A1.0 拾B1.0
  	class: 倍增  	d: 7  	pt: 2.0  	diff:  倍增A1.0 乘以B1.0
  	class: 谄媚  	d: 32  	pt: 2.0  	diff:  卖好A0.09090909090909091 逢迎A0.09090909090909091 捧A0.45454545454545453 买好A0.09090909090909091 取悦A0.18181818181818182 讨好A0.09090909090909091 吹捧B1.0
  	class: 贫乏  	d: 7  	pt: 2.0  	diff:  枯竭A1.0 匮乏B1.0
  	class: 耸立  	d: 13  	pt: 2.0  	diff:  坚挺A1.0 直立B1.0
  	class: 简陋  	d: 5  	pt: 2.0  	diff:  简陋A1.0 低质B1.0
  	class: 少量  	d: 5  	pt: 2.0  	diff:  微量A1.0 小量B1.0
  	class: 密  	d: 12  	pt: 2.0  	diff:  密布A0.6666666666666666 浓密A0.3333333333333333 稠密B1.0
  	class: 衰败  	d: 6  	pt: 2.0  	diff:  式微A0.5 破败A0.5 衰微B0.3333333333333333 衰败B0.6666666666666666
  	class: 沉  	d: 7  	pt: 2.0  	diff:  沉底A0.25 下沉A0.5 沉A0.25 下移B0.5 降下B0.5
  	class: 取暖  	d: 4  	pt: 2.0  	diff:  暖A0.4166666666666667 暖和A0.375 取暖A0.20833333333333334 悟B1.0
  	class: 稳重  	d: 11  	pt: 2.0  	diff:  稳重A0.6666666666666666 凝重A0.3333333333333333 稳健B1.0
  	class: 衰落  	d: 23  	pt: 2.0  	diff:  衰退A0.18518518518518517 萎缩A0.4074074074074074 凋零A0.1111111111111111 衰老A0.18518518518518517 萎靡A0.037037037037037035 没落A0.07407407407407407 中落B1.0
