learn:dsjwz.csv check:jqzx.csv 	 Result: 	0.17495377868796333 	5443 	2292
  	class: 繁殖  	d: 8  	pt: 2.0  	diff:  繁衍A1.0 繁殖B1.0
  	class: 膨胀  	d: 9  	pt: 2.0  	diff:  暴涨A1.0 膨胀B1.0
  	class: 腾空  	d: 7  	pt: 2.0  	diff:  飙升A1.0 抬高B1.0
  	class: 迥  	d: 17  	pt: 2.0  	diff:  上下床A1.0 迥异B1.0
  	class: 戒除  	d: 3  	pt: 2.0  	diff:  改掉A1.0 戒除B1.0
  	class: 肤浅  	d: 11  	pt: 1.9999999999999998  	diff:  浮光掠影A1.0 浅B0.7857142857142857 皮毛B0.14285714285714285 肤浅B0.07142857142857142
  	class: 仍  	d: 17  	pt: 1.9130434782608694  	diff:  扔掉AB0.9565217391304348 投标B0.08695652173913043 抛掷B0.6521739130434783 拽B0.08695652173913043 投中B0.08695652173913043 投向B0.043478260869565216
  	class: 装饰  	d: 5  	pt: 1.8461538461538463  	diff:  装修AB0.9230769230769231 装饰B0.9230769230769231
  	class: 人格  	d: 5  	pt: 1.8260869565217388  	diff:  品质AB0.8221343873517786 人格A0.9130434782608695 质地B0.09090909090909091
  	class: 痕迹  	d: 6  	pt: 1.8  	diff:  痕迹AB0.9 迹B0.9
  	class: 情欲  	d: 5  	pt: 1.7777777777777777  	diff:  情欲A0.7777777777777778 肉欲A0.1111111111111111 人事AB0.8888888888888888
  	class: 粗暴  	d: 14  	pt: 1.7777777777777777  	diff:  粗暴AB0.8888888888888888 野B0.7777777777777778 强行B0.1111111111111111
  	class: 口气  	d: 8  	pt: 1.75  	diff:  语气AB0.375 口气A0.5 音B0.875
  	class: 中饭  	d: 4  	pt: 1.75  	diff:  午饭AB0.875 午餐B0.875
  	class: 成名  	d: 23  	pt: 1.75  	diff:  露脸A0.375 著称A0.375 走红AB0.125 成名A0.125 出名B0.75
  	class: 色情  	d: 10  	pt: 1.7419354838709677  	diff:  黄色AB0.8709677419354839 色情A0.8387096774193549 桃色A0.03225806451612903
  	class: 责备  	d: 30  	pt: 1.7142857142857144  	diff:  指责A0.7142857142857143 责备A0.14285714285714285 诟病AB0.8571428571428572
  	class: 感觉  	d: 3  	pt: 1.7142857142857144  	diff:  感性AB0.8571428571428572 知觉B0.8571428571428571
  	class: 捐税  	d: 8  	pt: 1.7142857142857144  	diff:  税款A0.2857142857142857 税收A0.5714285714285714 税AB0.8571428571428572
  	class: 倍数  	d: 4  	pt: 1.7142857142857144  	diff:  倍数AB0.8571428571428572 翻番A0.8571428571428571
  	class: 恶劣  	d: 11  	pt: 1.7142857142857144  	diff:  拙劣AB0.8571428571428572 恶性B0.7142857142857143 恶劣B0.14285714285714285
  	class: 真诚  	d: 37  	pt: 1.7142857142857142  	diff:  真诚A0.2857142857142857 实心AB0.35714285714285715 开诚布公A0.2857142857142857 诚挚A0.14285714285714285 热切A0.14285714285714285 诚心B0.5
  	class: 估测  	d: 3  	pt: 1.7  	diff:  估测A0.85 测评AB0.85
  	class: 住房  	d: 9  	pt: 1.6923076923076923  	diff:  宅AB0.34615384615384615 住房A0.8461538461538461 住宅B0.5
  	class: 算  	d: 5  	pt: 1.6842105263157894  	diff:  算作AB0.8421052631578947 当成B0.7894736842105263 不失为B0.05263157894736842
  	class: 遮挡  	d: 15  	pt: 1.6764705882352942  	diff:  屏蔽AB0.43823529411764706 挡A0.4 遮挡B0.7352941176470589 遮掩B0.08823529411764706 遮蔽B0.014705882352941176
  	class: 评议  	d: 7  	pt: 1.6666666666666667  	diff:  鉴定AB0.8333333333333334 评议B0.6666666666666666 评定B0.16666666666666666
  	class: 头衔  	d: 3  	pt: 1.6666666666666667  	diff:  职称AB0.8333333333333334 头衔B0.8333333333333334
  	class: 冒充  	d: 23  	pt: 1.6666666666666665  	diff:  冒领A0.5 冒充A0.3333333333333333 伪造AB0.33333333333333337 假冒B0.5
