learn:dsjwz.csv check:gkw.csv 	 Result: 	0.20334924609206384 	7066 	2612
  	class: 失真  	d: 3  	pt: 2.0  	diff:  失真A1.0 畸变B1.0
  	class: 恶劣  	d: 11  	pt: 2.0  	diff:  拙劣A1.0 恶劣B0.5555555555555556 恶性B0.1111111111111111 劣质B0.1111111111111111 低劣B0.1111111111111111 劣B0.1111111111111111
  	class: 活泼  	d: 11  	pt: 2.0  	diff:  外向A1.0 活泼B1.0
  	class: 镇静  	d: 23  	pt: 2.0  	diff:  沉着A1.0 镇定B0.3333333333333333 镇静B0.6666666666666666
  	class: 窥探  	d: 11  	pt: 2.0  	diff:  窥视A0.8 窥A0.2 偷窥B0.2 窥探B0.8
  	class: 坦率  	d: 13  	pt: 2.0  	diff:  坦率A1.0 坦诚B1.0
  	class: 倾心  	d: 10  	pt: 2.0  	diff:  忠于A1.0 倾心B1.0
  	class: 佩服  	d: 13  	pt: 2.0  	diff:  钦佩A1.0 佩服B1.0
  	class: 吵闹  	d: 9  	pt: 2.0  	diff:  起哄A1.0 叫嚣B0.25 嚷B0.5 吵闹B0.25
  	class: 拍手  	d: 9  	pt: 2.0  	diff:  击掌A1.0 鼓掌B1.0
  	class: 把握  	d: 4  	pt: 2.0  	diff:  把握A1.0 握住B1.0
  	class: 刳  	d: 4  	pt: 2.0  	diff:  洞开A1.0 挖出B0.4 掏空B0.6
  	class: 松手  	d: 4  	pt: 2.0  	diff:  放手A1.0 松手B1.0
  	class: 吸  	d: 6  	pt: 2.0  	diff:  吸气A1.0 吸附B0.3181818181818182 抽烟B0.18181818181818182 吸B0.22727272727272727 吸烟B0.2727272727272727
  	class: 修理  	d: 7  	pt: 2.0  	diff:  修理A0.6666666666666666 弥合A0.3333333333333333 修缮B1.0
  	class: 摇摆  	d: 18  	pt: 2.0  	diff:  摆动A0.5 摇摆A0.5 晃动B0.5 晃B0.16666666666666666 摇曳B0.16666666666666666 摇动B0.16666666666666666
  	class: 家居  	d: 3  	pt: 2.0  	diff:  家居A1.0 蹲B1.0
  	class: 闻到  	d: 2  	pt: 2.0  	diff:  嗅到A1.0 闻到B1.0
  	class: 叫  	d: 5  	pt: 2.0  	diff:  噪A1.0 鸣叫B1.0
  	class: 狂喜  	d: 14  	pt: 2.0  	diff:  狂喜A1.0 销魂B1.0
  	class: 得志  	d: 9  	pt: 2.0  	diff:  得志A1.0 得意B1.0
  	class: 准备  	d: 8  	pt: 2.0  	diff:  备选A1.0 预备B1.0
  	class: 醒悟  	d: 16  	pt: 2.0  	diff:  觉悟A1.0 觉醒B0.8 顿悟B0.2
  	class: 料到  	d: 4  	pt: 2.0  	diff:  试想A1.0 料到B1.0
  	class: 领会  	d: 8  	pt: 2.0  	diff:  领悟A1.0 会心B0.5 会意B0.5
  	class: 呼应  	d: 11  	pt: 2.0  	diff:  呼应A1.0 对号入座B1.0
  	class: 驻扎  	d: 10  	pt: 2.0  	diff:  驻A1.0 驻扎B0.3333333333333333 驻守B0.16666666666666666 屯B0.5
  	class: 并吞  	d: 7  	pt: 2.0  	diff:  兼并A1.0 吞噬B1.0
  	class: 离开  	d: 5  	pt: 2.0  	diff:  撤出A1.0 离去B0.6666666666666666 撤离B0.16666666666666666 走人B0.16666666666666666
  	class: 消磨  	d: 3  	pt: 2.0  	diff:  消磨A1.0 打发B1.0
  	class: 首创  	d: 3  	pt: 2.0  	diff:  创始A1.0 始创B1.0
  	class: 检查  	d: 16  	pt: 2.0  	diff:  验A1.0 检视B1.0
  	class: 选拔  	d: 2  	pt: 2.0  	diff:  遴选A1.0 选拔B1.0
  	class: 接替  	d: 6  	pt: 2.0  	diff:  接替A1.0 接手B1.0
  	class: 缝补  	d: 8  	pt: 2.0  	diff:  修补A1.0 补补B1.0
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租用A0.5 租赁A0.5 租借B1.0
  	class: 赔偿  	d: 4  	pt: 2.0  	diff:  赔偿A1.0 赔付B1.0
  	class: 理赔  	d: 2  	pt: 2.0  	diff:  理赔A1.0 索赔B1.0
  	class: 挤出  	d: 3  	pt: 2.0  	diff:  腾出A1.0 挤出B0.7142857142857143 抽出B0.2857142857142857
  	class: 背诵  	d: 3  	pt: 2.0  	diff:  背书A1.0 背诵B1.0
  	class: 删改  	d: 3  	pt: 2.0  	diff:  删改A1.0 删节B1.0
  	class: 失约  	d: 5  	pt: 2.0  	diff:  违约A1.0 爽约B1.0
  	class: 邮寄  	d: 5  	pt: 2.0  	diff:  邮A1.0 邮寄B1.0
  	class: 说谎  	d: 9  	pt: 2.0  	diff:  撒谎A1.0 瞎说B0.16666666666666666 胡诌B0.16666666666666666 说谎B0.6666666666666666
  	class: 记叙  	d: 4  	pt: 2.0  	diff:  记事A1.0 记载B1.0
  	class: 征求  	d: 3  	pt: 2.0  	diff:  征求A1.0 征得B1.0
  	class: 接洽  	d: 6  	pt: 2.0  	diff:  接洽A1.0 洽B1.0
  	class: 慰劳  	d: 8  	pt: 2.0  	diff:  慰问A1.0 抚慰B1.0
